"RegionName","City","State","Metro","CountyName","SizeRank","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,0.811781609195402,0.829861111111111,0.841779279279279,0.831368743001508,0.860274723778565,0.834542815674891,0.825707547169811,0.827219457228346,0.88460939652251,0.858175248419151,0.897461685823755,0.852115039564213,0.801610541727672,0.829875518672199,0.864304235090752,0.879869712953634,0.838670404321493,0.8450410556084,0.863448803233756,0.842992623814542,0.850077279752705,0.843161802380101,0.827983614575691,0.825,0.870044052863436,0.843635148680254,0.870865820016097,0.896414342629482,0.911172161172161,0.876095118898623,0.874903229552404,0.929598794281532,0.936395759717314,0.885621657451609,0.885621657451609,0.881995133819951,0.927272727272727,0.982800982800983,0.982658959537572,0.994110346768794,0.96505376344086,0.972222222222222,0.945343000557724,0.979212253829322,0.935340572556762,0.975510204081633,1.01018675721562,1.02816901408451,1.04163873602819,1.04710032172882,0.975220283099312,1.00236546422235,1.13438045375218,1.09090909090909,1.0319658219175,1.04305964161541,1.03732638888889,1.04403086699955,1.05184559889365,1.12359550561798,1.13928571428571,1.06314432989691,1.0947232675293,1.08055009823183,1.13013698630137,1.1142824948124,1.09090909090909,1.18055555555556,1.09011627906977,1.1522633744856,1.19474794241146,1.21107266435986,1.24554631200782,1.28210616438356,1.27952755905512,1.25944584382872,1.2377029732015,1.2372329338197,1.1590602793433,1.15734001647899,1.19481521010617,1.16678526249209,1.22588187859417,1.23251138479375,1.26646403242148,1.28272279306166,1.25024389875803,1.25512250556251,1.24525061338941,1.23318753108188,1.25373134328358,1.23242652113468,1.24510850231234,1.24363425925926,1.26829819223325,1.28308228998216,1.31540496477898,1.31194880863316,1.32036136205698,1.34735945118005,1.32850241545894,1.29472693032015,1.25628140703518,1.24902114330462,1.25902269304668
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,,0.58411214953271,0.59054548804717,0.592261904761905,0.589326823846948,0.604979811574697,0.604979811574697,0.596213235294118,0.598150534329487,0.59887459807074,0.595,0.578970342958407,0.583579550541678,0.576160019281583,0.5780294799831,0.583071996914708,0.586854460093897,0.588784978892173,0.586468949818698,0.590299936183791,0.590762696568373,0.587774294670846,0.602863602110023,0.607784557749856,0.60391363022942,0.595238095238095,0.597303250403288,0.597728631201435,0.600862205975842,0.603457221491707,0.596511469093471,0.596816976127321,0.611175785797439,0.595059880239521,0.600461893764434,0.593181584727951,0.59115562911276,0.586603920603675,0.591031062044385,0.589101620029455,0.595885232918137,0.586885245901639,0.577424449058242,0.581837191771886,0.592417061611374,0.595238095238095,0.597269624573379,0.605867346938776,0.605477894693911,0.601051840721262,0.612582781456954,0.612663939748085,0.616985862239027,0.617236024844721,0.614552605703048,0.617236024844721,0.617606776467304,0.62,0.624128312412831,0.621098626716604,0.635782747603834,0.644329896907217,0.632911392405063,0.630952380952381,0.631711939355654,0.630005411255411,0.632183908045977,0.628599572538015,0.6421647819063,0.650422006378838,0.655124005615349,0.650297498875186,0.651906519065191,0.650084793668739,0.643776824034335,0.634047481181239,0.643465175502645,0.632911392405063,0.647031715527982,0.660497766432674,0.704656862745098,0.688542983565107,0.705890040730355,0.709550852209937,0.749063670411985,0.744355253549298,0.727871250914411,0.749802683504341,0.729307659345817,0.724206349206349,0.704008361536204,0.718775483511921,0.734972785582005,0.744921108842258,0.749225811042627,0.76204523107178,0.782228481154589,0.789036544850498,0.786909090909091,0.79655612244898,0.771128932757557,0.745584819338827,0.763367249305734,0.77319587628866,0.788581119276427,0.788969859929759,0.825892857142857,0.862416951692639,0.855234917889751,0.865878725590956,0.851934523809524,0.871362048894063,0.871287085053092,0.829081632653061,0.819672131147541
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,,,,,,,,,,,0.761730652041438,0.757349308300395,0.768916941527643,0.773558368495077,0.774659746308429,0.768900343642612,0.766871165644172,0.764088567133245,0.758279824264954,0.741776663788606,0.736491487786825,0.732661989750288,0.727489393040215,0.725764839937222,0.720576461168935,0.721310847840103,0.724573731683198,0.741357449614251,0.736111111111111,0.730672952453545,0.723938223938224,0.725263650433718,0.730282375851996,0.731837091688568,0.729483282674772,0.732163742690058,0.746397694524496,0.747084548104956,0.742875685781972,0.74424898511502,0.73921085080148,0.738396624472574,0.738396624472574,0.734387846695783,0.731382978723404,0.734824941566521,0.734779566130161,0.73270912201226,0.733984566874238,0.734870317002882,0.734137388568432,0.73377581120944,0.734779566130161,0.740866035182679,0.75081703652944,0.738884045335658,0.737463126843658,0.738396624472574,0.744037186411617,0.738625845646394,0.738618117592106,0.74404294740248,0.747484426555922,0.76129252728684,0.765812693889442,0.775432764568508,0.778260799105443,0.76457682672913,0.768849206349206,0.773809523809524,0.763082035835565,0.784682988072819,0.792320098212741,0.793650793650794,0.804447063353711,0.789993416721527,0.799270072992701,0.792079207920792,0.796124406483654,0.8,0.797678431513281,0.75518341307815,0.80521472392638,0.808189655172414,0.79719387755102,0.79960019990005,0.822480497575374,0.829007782537898,0.839524517087667,0.831595774256325,0.837496857003505,0.839702770421145,0.857615894039735,0.832342449464923,0.847214244686961,0.846108490566038,0.874713553239918,0.88309503784693,0.880530973451327,0.882974396058846,0.88263358778626,0.906666666666667,0.907073926516158,0.899621212121212,0.886213255650847,0.886232481450948,0.926735921268453,0.911039657020364,0.922937353555291,0.951606621226874,0.940324282870037,0.968544667853605,0.985148514851485,0.984358144552319,0.981308411214953,0.967540574282147,0.962033462033462,0.941858358992936
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11111111111111,4.97799511002445,4.97799511002445,4.9778616975512,4.90801393728223,4.97799511002445,4.97772828507795,4.83287269622145,4.5879009762901,4.41942401960784,4.70926406926407,4.80101372186247,5.06218905472637,4.9778616975512,4.98307692307692,4.97910863509749,4.98307692307692,5.07046068717025,4.98307692307692,5.06723716381418,5.12351413061782,5.09976727094561,5.07046068717025,5.06471310927027,5.07046068717025,5.12261146496815,5.12351413061782,5.18951772027919,5.29110586983646,5.19398642095053,5.18504901960784,5.16138044200731,5.13771186440678,5.21237782585988,5.13771186440678,5.19398642095053,5.26630760023938,5.19398642095053,5.23014701059496,5.23014701059496,5.18504901960784,5.18504901960784,5.06723716381418,4.98528846153846,5.06723716381418,5.00569476082005,5.00569476082005,5.00284738041002,4.99438584194848,5.00284738041002,5,5.07046068717025,5.00569476082005,5.06218905472637,5.00284738041002,5.03394190777321,5.06218905472637,5.06471310927027,5.07368421052632,5.0390625,5.00569476082005,4.94513031550069,4.98153846153846,4.98307692307692,4.97799511002445,5.00569476082005,5.06723716381418,5.00569476082005,4.97799511002445,4.98307692307692,5.12261146496815,5.07368421052632,5.06218905472637,5.12261146496815,5.12351413061782,5.13771186440678,5.13771186440678,5.09814783774723
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68869309838473,1.65289256198347,1.64893617021277,1.85334407735697,1.85334407735697,1.92041292041292,2.02922077922078,1.98039215686275,1.86592950932965,1.82608695652174,1.9067055907146,1.86991869918699,1.82608695652174,1.85811237373737,1.91666666666667,1.91666666666667,2.11019049094006,2.15384615384615,2.23274695534506,2.23585978290739,2.15004191114837,2.15672613288125,2.1043771043771,1.97461212976023,2.15828569346057,2.14219787180238,2.22087378640777,2.30208333333333,2.09579614919421,2.22841225626741,2.37638888888889,2.40565664556962,2.32627118644068,2.32758620689655,2.23187382297552,2.36757624398074
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,,,,,,,,,,,0.71064139941691,0.71064139941691,0.709006477817167,0.706522657541336,0.719151054002376,0.715653914472812,0.70442927837294,0.683206106870229,0.682181076597875,0.67911714770798,0.671417854463616,0.669402998789813,0.665399239543726,0.666144200626959,0.666144200626959,0.683442070080944,0.683576956147893,0.6867608782993,0.675675675675676,0.671390013495277,0.669302447752499,0.669020651241437,0.663710273466371,0.662878787878788,0.662675515330956,0.66804518947959,0.673400673400673,0.671948831493067,0.66105478333227,0.663919175283522,0.66329780101904,0.665528615478403,0.654349499615088,0.650798462181303,0.657310516306386,0.650452488687783,0.656814449917898,0.661948425730205,0.665054413542926,0.664652567975831,0.663775850567045,0.667071197411003,0.665266106442577,0.680989060008745,0.680005548741312,0.676132831071938,0.676818950930626,0.681727054020558,0.668632546571868,0.672237761987947,0.6731583403895,0.672514619883041,0.672237761987947,0.675189976853602,0.688750464052321,0.685164204217481,0.680961357210179,0.692612137203166,0.681362851159514,0.675925925925926,0.676506765067651,0.689035350509287,0.708233313030705,0.683206106870229,0.707142857142857,0.706827020020164,0.701934282384663,0.707649965555614,0.704989154013015,0.722815839094909,0.724907063197026,0.724653605794738,0.727513227513228,0.757402795074028,0.756081525312295,0.76188451003151,0.763623833757421,0.766550522648084,0.782361308677098,0.783234546994073,0.782472613458529,0.782004830917874,0.779467513426483,0.780669144981413,0.794547872340426,0.786713286713287,0.785797438882421,0.778764058983349,0.839279786948107,0.829127613554434,0.828290468986384,0.835322195704057,0.830128205128205,0.824679291386683,0.83969465648855,0.851788756388416,0.856019358741682,0.867823765020027,0.862068965517241,0.843253968253968,0.871736416435977,0.863502493472423,0.880281690140845,0.897270254224384,0.881485849056604,0.880447585394582,0.878482902009032,0.843220338983051
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,,,,,0.813992552171594,0.79702957312629,0.753074021763393,0.764739229024943,0.731257793841016,0.733624476531705,0.699822294100842,0.724446786090622,0.722456351595424,0.723684210526316,0.741739277786499,0.731310942578548,0.728658536585366,0.740210124164279,0.739371534195933,0.740344836412182,0.731430179964285,0.7125,0.721003134796238,0.707395498392283,0.704005006257822,0.700046921828483,0.713231677324151,0.717277647657395,0.707317073170732,0.706259932922462,0.712435233160622,0.707821590174531,0.705088902513795,0.709334123507288,0.707213578500707,0.711743772241993,0.715436826633638,0.718562874251497,0.715411180923506,0.710889567510758,0.71875,0.71077091306725,0.714750799726352,0.715048284052575,0.708896912640875,0.707364031948647,0.709355828220859,0.714729645742697,0.714721282201492,0.714285714285714,0.72041692213366,0.726274866785839,0.72225869993434,0.721003134796238,0.717852684144819,0.715940685820204,0.72096332785988,0.72265625,0.725593667546174,0.722253206915784,0.738460711864967,0.749318801089918,0.744470645633436,0.749319821534126,0.738368172623061,0.738488271068636,0.736067297581493,0.731703789225441,0.728915564437054,0.730987046611061,0.737230419977299,0.750418773970505,0.760397268777157,0.7627765064836,0.757073632730375,0.765377837001376,0.767307692307692,0.78433760609217,0.755088640840446,0.768445849762538,0.766174801362088,0.757575757575758,0.772032986309432,0.776457381335462,0.782064650677789,0.801871032408954,0.797872340425532,0.802185163887292,0.802310654685494,0.808092247456331,0.797735484106419,0.798208576733712,0.794790005316321,0.799848823870214,0.806028238460017,0.805,0.82573880918024,0.84749568052478,0.866281652598845,0.86340206185567,0.860969387755102,0.857237152204653,0.871253316736004,0.851367478509237,0.855809128630705,0.859038961894411,0.854774156660949,0.846432889963724,0.8729775766056,0.879523343222442,0.901687027341478,0.910346561741326,0.913711558890523,0.917022907206193,0.909397206567018,0.905640402495629,0.891551584077985,0.896492924768401
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",8,0.869630973986691,0.868312573825854,0.837696335078534,0.857142857142857,0.866731047802994,0.824468085106383,0.821917808219178,0.852962169878658,0.85924713584288,0.85924713584288,0.858444288717589,0.83527221963704,0.844390832328106,0.844666062254458,0.852996459937594,0.841346153846154,0.845864661654135,0.845684060265961,0.835347053845254,0.833333333333333,0.824175824175824,0.836680053547523,0.845134764732755,0.836586726157278,0.84647961884595,0.848014789445807,0.868947769784815,0.865963855421687,0.863013698630137,0.859325270528326,0.853797829811536,0.856023166023166,0.854043392504931,0.861966843112682,0.868725868725869,0.874618902439024,0.864553314121037,0.89622641509434,0.863849996713337,0.868962988038817,0.875199362041467,0.869360902255639,0.859432497068793,0.857142857142857,0.853569411219307,0.865384615384615,0.859689476710753,0.85730618466899,0.867753623188406,0.876807039597737,0.889679715302491,0.917203767972236,0.901819808375998,0.890457206131462,0.879854368932039,0.877634341313739,0.882237386269644,0.900916315683915,0.926935659760087,0.935902052574721,0.926935659760087,0.932835820895522,0.952078521939954,0.935767097966728,0.936412315930388,0.933106666023639,0.931470998759305,0.931490384615385,0.928238154268002,0.953263620575921,0.951492717479739,0.960697035879129,0.966908041101464,0.948045330964396,0.948421975722137,0.975192093822667,0.966384994597413,0.952688292737681,0.935828877005348,0.948481302059708,0.949640287769784,0.918367346938776,0.977737665463297,1.0056843025798,1.02327447833066,1.03589481140854,1.01955414012739,1.02867410736892,1.02836879432624,1.00964436407474,1.00774053989394,1.01658640984484,0.997899159663866,0.996179389870092,1.01379310344828,1.02076124567474,1.05782792665726,1.06318504190845,1.06761565836299,1.08513603925067,1.08953102794884,1.08111130994989,1.06568385791935,1.05565305888542,1.06708427969344,1.12618618618619,1.10738255033557,1.11421319796954,1.13194198797312,1.15213836477987,1.16495831446926,1.14051408943308,1.15830115830116,1.18556701030928,1.15456243025457,1.11929824561404,1.11386138613861,1.12948769665188
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",9,,0.754843124566939,0.75187969924812,0.732814526588846,0.798104956268222,0.759345794392523,0.762117346938776,0.779427488335925,0.74585635359116,0.74585635359116,0.761415312159303,0.756818181818182,0.743931088488645,0.755073234828576,0.754741441018521,0.76219512195122,0.752099373030569,0.754651964162646,0.743781094527363,0.738749846644583,0.722319151666887,0.728679044077436,0.730816077953715,0.731951871657754,0.733333333333333,0.761060190767452,0.755287009063444,0.746806778109774,0.748262960983431,0.745551601423488,0.749246987951807,0.741063644289451,0.75046904315197,0.748554913294798,0.749850029994001,0.749850029994001,0.743167551419979,0.754656390494541,0.754297590914131,0.757899630561059,0.750750750750751,0.74424898511502,0.751510574018127,0.754808684268568,0.742713004484305,0.741420247643602,0.737840065952185,0.742717167720465,0.750750750750751,0.752508361204013,0.759081337193998,0.747470101195952,0.755162711684451,0.767105074064133,0.769946794703499,0.760161802113655,0.765794511805999,0.75591569101381,0.762331838565022,0.766728624535316,0.762872376780395,0.770020887383069,0.787529473263668,0.795755968169761,0.798388738755414,0.785714285714286,0.79343733189887,0.799115603284902,0.789293067947838,0.798319327731092,0.788436268068331,0.799037947621593,0.793201387765374,0.800113929113948,0.789473684210526,0.807174887892377,0.80888709252774,0.809061488673139,0.781588329095563,0.807174887892377,0.807174887892377,0.788288288288288,0.817637302092266,0.825829595447534,0.827272727272727,0.834105653382762,0.84985835694051,0.858480749219563,0.861585612634741,0.848540145985402,0.85380467345716,0.849716023780852,0.847846012832264,0.849617740191659,0.83969465648855,0.850873264666368,0.886229146354674,0.850873264666368,0.875050875050875,0.872791677876424,0.909986859395532,0.920806623931624,0.914084679288031,0.910570159352937,0.909008113926147,0.879289215686274,0.90793565475385,0.927813765749713,0.940860215053763,0.950739378021097,0.955414012738854,0.98560638517194,0.976244815387118,0.974976552400105,0.969084480122324,0.977869274318065,0.977564102564103,0.986351051342248
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,,0.700190961171228,0.702393340270552,0.723429782872053,0.707517890681628,0.693813131313131,0.706789125201151,0.629538272558868,0.642434488588335,0.690751445086705,0.666207213416035,0.667695437355958,0.655608523496926,0.673431734317343,0.675675675675676,0.675675675675676,0.684782608695652,0.686233597626003,0.698317693901786,0.690021231422505,0.674603174603175,0.6625,0.658362989323843,0.665348864662889,0.688197754129399,0.684936596314925,0.68689181453921,0.687785529911114,0.692860453998578,0.695931131023536,0.701530612244898,0.692958612175258,0.699251655524473,0.698631643521041,0.706638115631692,0.714285714285714,0.714932126696833,0.719453376205788,0.705910534868693,0.71263310289977,0.706537268176913,0.679611650485437,0.706950952955114,0.706426402448614,0.704645444228048,0.703703703703704,0.714966634890372,0.714285714285714,0.711435608354577,0.71326164874552,0.719453376205788,0.729791656709095,0.7438263080366,0.740740740740741,0.740318906605923,0.730088495575221,0.736019736842105,0.722157106085678,0.729327503675073,0.728404099560761,0.758182863325894,0.761648745519713,0.756634425582313,0.75531914893617,0.753968253968254,0.752801120448179,0.751633986928105,0.759085580304807,0.749625187406297,0.751806439374342,0.755478010413205,0.763459818223029,0.782997762863535,0.772664835164835,0.753465943339361,0.778588807785888,0.751633986928105,0.761772853185596,0.757940417203126,0.788249211356467,0.778588807785888,0.751633986928105,0.790108564535585,0.790139064475348,0.795717592592593,0.823271130625686,0.835911334285701,0.846643686502177,0.844327176781003,0.829562594268477,0.823271130625686,0.820143822821217,0.816666666666667,0.811437888004013,0.839285714285714,0.844230769230769,0.864596595901425,0.878647214854111,0.921052631578947,0.909402882635552,0.932711369627258,0.912610619469027,0.893085787451985,0.87440918298447,0.884568271586421,0.882043666200756,0.882118451025057,0.890559554008613,0.934799530914822,0.936214472700075,0.939616887730933,0.932400932400932,0.932400932400932,0.932835820895522,0.928755713575218,0.941869599371563,0.940695767303186,0.960786942445323
