"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"10025","New York","NY","New York","New York",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.14135438200087,5,4.99258160237389,5,5.15578635014837,4.99228395061728,4.98466257668712,4.97799511002445,5,5.1938625812442,5.05836371516712,5.23952095808383,5.15873015873016,5.09984662576687,5.05443234836703,5,5,5,5.03550804814703,5.14096185737977,5.14837410376407,5.1,5.01658374792703,5.1,4.93366500829187,4.98782926272541,5.08114754098361,5,4.98307692307692,4.92220650636492,4.9279357573284,5.06229508196721,5.13059408286244,5,5,5.08486562942008,5.15578635014837,5.13377206793039,5,5,4.98653846153846,4.97799511002445,4.97799511002445,4.98053601655069,5.02225519287834
"60657","Chicago","IL","Chicago","Cook",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,1.75,1.64444444444444,1.66666666666667,1.67857142857143,1.70071225071225,1.7025641025641,1.8,1.84931506849315,1.86388888888889,1.87375,1.89330357142857,1.88333333333333,1.86333333333333,1.80634920634921,1.85,1.76923076923077,1.71875,1.82758620689655,1.86875,1.93125,1.91666666666667,1.93430656934307,1.95833333333333,1.99333333333333,1.8625,1.84962406015038,1.825,1.83571428571429,1.88605769230769,1.93229166666667,1.99309523809524,1.99354166666667
"10023","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.93333333333333,5,4.9476688867745,4.99265785609398,4.87363535876643,4.80182926829268,4.87444608567208,4.90421455938697,5.04484304932735,4.99375,4.9360649363274,4.86111111111111,5.04484304932735,5.1244167962675,5.12321049438884,4.91084729981378,4.95169370229008,5.02225519287834,4.87147335423198,4.92470460573909,5,4.98522895125554,4.85,4.77556440903054,4.56008549220486,4.86479456587876,4.77207977207977,4.74723042836041,4.77350134544379,4.75,4.75316709848545,4.79241071428571,4.77350134544379,4.846,4.88888888888889,4.93333333333333,4.82418524871355,4.75316709848545,4.78931140801644,4.80396288783713,4.83333333333333,4.77492291880781,4.82237923102202,4.85048818088386,4.83048366536227
"75070","McKinney","TX","Dallas-Fort Worth","Collin",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24123422159888,1.25669642857143,1.26101928374656,1.25837053571429,1.21212121212121,1.25223214285714,1.30592105263158,1.31749460043197,1.34228187919463,1.31749460043197,1.32620385629813,1.23883928571429,1.22727272727273,1.27264767106324,1.33471074380165,1.31818181818182,1.34531905965632,1.35526315789474,1.3515625,1.40909090909091,1.4435261707989,1.32056330121442,1.27733516483516,1.27608703256725,1.28205128205128,1.31107979682124,1.29764705882353,1.32685681837366,1.35812672176309,1.3707555465368,1.35729131746564,1.41255870681181,1.39041394969725,1.32205651709736,1.35584468984962,1.34755134281201,1.31912040761598,1.35327635327635,1.36128915079109,1.38472032742156,1.36184210526316,1.36664708186447,1.36812411847673,1.375,1.38421733505821,1.44806763285024,1.4373939305331,1.36129032258065,1.38704994192799,1.43723554301834
"77494","Cinco Ranch","TX","Houston","Fort Bend",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38928067700987,1.35809312638581,1.39285714285714,1.34750911300122,1.50513112884835,1.38999961994206,1.40909090909091,1.44793224832726,1.45786308421156,1.50988870373534,1.51047904191617,1.37957184535425,1.38083228247163,1.40102686295106,1.40138408304498,1.40559111525582,1.41402116402116,1.41131105398458,1.36269430051813,1.3992628992629,1.39109829608426,1.39037935315207,1.49349964121396,1.51134644478064,1.49633123689727,1.49895178197065,1.48846960167715,1.48439821693908,1.48516129032258
"60614","Chicago","IL","Chicago","Cook",6,,,,,,,,,,,,,,,,,,,,,,1.95454545454545,1.92672373818441,1.96428571428571,1.96555555555556,1.96875,2.01678571428571,2.125,2.03292329639938,2.105,2.15633423180593,2.14018691588785,2.18431771894094,2.15865384615385,2.105,2.0952380952381,2.09395305983901,2.09413067552602,2.13777777777778,2.2,2.27136363636364,2.18330358541662,2.11749788672866,2.13627958579882,2.19184754146058,2.17054263565891,2.1875,2.17109221335185,2.10526315789474,2.06666666666667,2.08368554522401,2.10481825866441,2.12124894336433,2.13571428571429,2.10481825866441,2.10526315789474,2.11749788672866,2.11757247277609,2.125,2.17718940936864,2.15148716614638,2,2.15833333333333,2.125,2.10172413793103,2.09230769230769,2.05267822736031,2.05202312138728,2.08333333333333,2.25290398126464,2.26147540983607,2.17164179104478,2.36690647482014,2.19556905083221,2.11764705882353,2.16738117921033,2.18897637795276,2.12746272630458,2.13571428571429,2.16365969440736,2.11749788672866,2.11749788672866,2.0871327254306,2.1,2.07142857142857,2.12132352941176,2.10481825866441,2.11187214611872,2.15729166666667,2.16296296296296,2.17637207662475,2.19555555555556,2.13385826771654,2.13571428571429,2.20480640854473,2.22408072696534,2.22,2.3
"77084","Houston","TX","Houston","Harris",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23969465648855,1.1969696969697,1.1969696969697,1.16386554621849,1.19779598510942,1.24172356070499,1.21340543615356,1.17919075144509,1.1969696969697,1.17919075144509,1.1621271076524,1.1827731092437,1.22566514225075,1.21660181582361,1.19195849546044,1.21428571428571,1.23669467787115,1.15697048049989,1.33608107298516,1.33608107298516,1.27885862516213,1.25925925925926,1.24929971988796,1.26587962962963,1.2210118098276
"60640","Chicago","IL","Chicago","Cook",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.5375,1.5,1.52315789473684,1.56666666666667,1.55880952380952,1.55,1.56666666666667,1.61474936474936,1.60872440763745,1.67857142857143,1.66666666666667,1.63484848484848,1.61875,1.62301136363636,1.66969696969697,1.64751552795031,1.64285714285714,1.68159340659341,1.695,1.66666666666667,1.65172413793103,1.65450928381963,1.63181818181818,1.659375,1.69845085470085,1.65507649513213,1.70940170940171,1.56666666666667,1.66666666666667,1.68377110694184,1.68181818181818,1.70714285714286,1.73218390804598,1.72666666666667,1.71651785714286,1.70426587301587,1.6875,1.64705882352941,1.695,1.71428571428571,1.72666666666667,1.79285714285714,1.795
"77449","Houston","TX","Houston","Harris",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20165745856354,1.30208913967195,1.31046511627907,1.36533665835411,1.36533665835411,1.36533665835411,1.34715779105236,1.36644809108182,1.36533665835411,1.35267857142857,1.35267857142857,1.35267857142857
"94109","San Francisco","CA","San Francisco","San Francisco",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.70911949685535,4.53266787658802,4.16666666666667,4.08759124087591,4.18014421838785,4.58762886597938,4.66666666666667,4.75597176981542,4.49248120300752,4.91468948107503,4.38461538461539,4.65381443298969,4.42222222222222,4.88668555240793,5,4.95750708215297,5,5,5.03186968838527,4.87191420477539,4.97648081380376,5.03541076487252,5,4.72080536912752,4.71040268456376,4.94269340974212,4.82233502538071,4.95750708215297,4.99742153578158,4.94269340974212,4.94269340974212,4.95750708215297,4.77222222222222,4.9016761095373,4.88668555240793,4.95010024594755,4.88668555240793,4.95750708215297,4.79423868312757,4.95750708215297,4.95750708215297,4.82291666666667,4.9375,4.80769230769231,4.95010024594755,4.87331514762516,4.69600813356164,4.65603622699682,4.7172469374597,4.67289719626168,4.7172469374597,4.78723404255319
