"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","12009","NY","Albany-Schenectady-Troy, NY",10621,60,9.43396226415094,101,8.85714285714286,6.64827586206897
"Zip","12077","NY","Albany-Schenectady-Troy, NY",10764,60,4.34782608695652,86,1.14285714285714,6.64827586206897
"Zip","12822","NY","Albany-Schenectady-Troy, NY",10799,60,10,90,8,6.64827586206897
"Zip","12090","NY","Albany-Schenectady-Troy, NY",10869,60,8.88888888888889,149,10,6.64827586206897
"Zip","12123","NY","Albany-Schenectady-Troy, NY",10931,60,8.82352941176471,93,5.14285714285714,6.64827586206897
"Zip","87114","NM","Albuquerque, NM",1762,59,17.8494623655914,73,7.6,7.91724137931034
"Zip","87111","NM","Albuquerque, NM",1790,59,11.0726643598616,76.5,3.2,7.91724137931034
"Zip","87120","NM","Albuquerque, NM",1936,59,16.8704156479218,71,6.4,7.91724137931034
"Zip","87121","NM","Albuquerque, NM",2076,59,11.1510791366906,63,0.4,7.91724137931034
"Zip","87124","NM","Albuquerque, NM",2347,59,11.965811965812,62,0.8,7.91724137931034
"Zip","87109","NM","Albuquerque, NM",2830,59,12.4223602484472,70.5,2,7.91724137931034
"Zip","87112","NM","Albuquerque, NM",2915,59,14.7321428571429,70.5,5.2,7.91724137931034
"Zip","87105","NM","Albuquerque, NM",3035,59,13.9240506329114,85,8.2,7.91724137931034
"Zip","87123","NM","Albuquerque, NM",3173,59,14.2857142857143,70,4.8,7.91724137931034
"Zip","87108","NM","Albuquerque, NM",3183,59,14.0845070422535,84,9.2,7.91724137931034
"Zip","87110","NM","Albuquerque, NM",3185,59,15.8371040723982,71.5,6.8,7.91724137931034
"Zip","87031","NM","Albuquerque, NM",3850,59,14.1818181818182,83,8.8,7.91724137931034
"Zip","87144","NM","Albuquerque, NM",4214,59,13.8964577656676,67,2.6,7.91724137931034
"Zip","87107","NM","Albuquerque, NM",5142,59,10.7142857142857,80,4,7.91724137931034
"Zip","87106","NM","Albuquerque, NM",5452,59,10.6194690265487,71,1.2,7.91724137931034
"Zip","87102","NM","Albuquerque, NM",6689,59,18.0851063829787,80,9.8,7.91724137931034
"Zip","87002","NM","Albuquerque, NM",7752,59,10.1123595505618,90,5.8,7.91724137931034
"Zip","87122","NM","Albuquerque, NM",8645,59,13.986013986014,89,9.8,7.91724137931034
"Zip","87113","NM","Albuquerque, NM",8961,59,9.21052631578947,79,1.6,7.91724137931034
"Zip","87104","NM","Albuquerque, NM",9208,59,11.25,76,3.6,7.91724137931034
"Zip","87004","NM","Albuquerque, NM",9944,59,13.7931034482759,87,8.2,7.91724137931034
"Zip","87048","NM","Albuquerque, NM",9992,59,5.68181818181818,87,4.4,7.91724137931034
"Zip","87059","NM","Albuquerque, NM",10063,59,13.6986301369863,85,7.2,7.91724137931034
"Zip","87043","NM","Albuquerque, NM",10824,59,9.45945945945946,127,5.8,7.91724137931034
"Zip","87047","NM","Albuquerque, NM",10846,59,9.25925925925926,80,2.6,7.91724137931034
"Zip","18103","PA","Allentown-Bethlehem-Easton, PA-NJ",3084,67,11.7647058823529,65,2,8.55172413793103
"Zip","18104","PA","Allentown-Bethlehem-Easton, PA-NJ",3304,67,14.1176470588235,72,5.42857142857143,8.55172413793103
"Zip","18102","PA","Allentown-Bethlehem-Easton, PA-NJ",3489,67,7.52688172043011,74,1.14285714285714,8.55172413793103
"Zip","18042","PA","Allentown-Bethlehem-Easton, PA-NJ",3740,67,13.2352941176471,77,7.14285714285714,8.55172413793103
"Zip","18017","PA","Allentown-Bethlehem-Easton, PA-NJ",3817,67,17.2727272727273,70,6.57142857142857,8.55172413793103
"Zip","18018","PA","Allentown-Bethlehem-Easton, PA-NJ",4470,67,14.9122807017544,67,4,8.55172413793103
"Zip","07840","NJ","Allentown-Bethlehem-Easton, PA-NJ",5402,67,12.707182320442,102.5,8.28571428571429,8.55172413793103
"Zip","08865","NJ","Allentown-Bethlehem-Easton, PA-NJ",5463,67,10.9022556390977,113,8,8.55172413793103
"Zip","18015","PA","Allentown-Bethlehem-Easton, PA-NJ",5704,67,10.958904109589,76,5.14285714285714,8.55172413793103
"Zip","18052","PA","Allentown-Bethlehem-Easton, PA-NJ",5804,67,11.1111111111111,65,1.42857142857143,8.55172413793103
"Zip","18045","PA","Allentown-Bethlehem-Easton, PA-NJ",5921,67,19.047619047619,74,7.71428571428571,8.55172413793103
"Zip","18062","PA","Allentown-Bethlehem-Easton, PA-NJ",6837,67,9.18367346938776,68,0.857142857142857,8.55172413793103
"Zip","18064","PA","Allentown-Bethlehem-Easton, PA-NJ",6867,67,15.9090909090909,71.5,6.85714285714286,8.55172413793103
"Zip","18067","PA","Allentown-Bethlehem-Easton, PA-NJ",7878,67,11.9047619047619,69,3.14285714285714,8.55172413793103
"Zip","18235","PA","Allentown-Bethlehem-Easton, PA-NJ",8028,67,7.82608695652174,98,4.85714285714286,8.55172413793103
"Zip","18049","PA","Allentown-Bethlehem-Easton, PA-NJ",8100,67,8.97435897435897,73,2.57142857142857,8.55172413793103
