"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","01001","Agawam","MA","Springfield, MA, MA","Springfield, MA",,0.929046116667785,75,0.0476,5.31,213000,0.0469704086425552,3.64963503649635,0.0385586854460094,,0.0690278279725334,0.0680628272251309,91
"Zip","01002","Amherst","MA","Springfield, MA, MA","Springfield, MA",,5.54339799959723,92.31,0,0,331800,0.454132606721163,6.51685393258427,0.0418203737191079,,0.0454148471615721,0.0384615384615385,106
"Zip","01007","Belchertown","MA","Springfield, MA, MA","Springfield, MA",,3.80882056789958,100,0,2.15,276700,0.108538350217077,4.02255639097744,0.0496675099385617,,0.046303211351755,0.0483870967741936,102
"Zip","01008","Blandford","MA","Springfield, MA, MA","Springfield, MA",,1.42646170369873,0,,,222100,-0.224618149146451,6.47171620325983,0.0691130121566861,,0.0601092896174863,0.0909090909090909,78
"Zip","01010","Brimfield","MA","Springfield, MA, MA","Springfield, MA",,2.07692824058535,100,,,256000,0.431541781090624,2.89389067524116,0.0400390625,,0.0667779632721202,0.075,78
"Zip","01011","Chester","MA","Springfield, MA, MA","Springfield, MA",,3.59535476941666,100,,,158700,1.86136071887035,0.890019071837254,0.16887838689351,,0.223776223776224,0.0625,78
"Zip","01013","Chicopee","MA","Springfield, MA, MA","Springfield, MA",,0.39739544874807,100,0.1667,7.09,178100,0,5.07374631268437,0.0538236945536215,,0.0757156048014774,0.128048780487805,72
"Zip","01020","Chicopee","MA","Springfield, MA, MA","Springfield, MA",,0.841108948110358,88.89,0.0465,5.19,188600,0.372538584353379,2.94759825327511,0.0555355249204665,,0.0642570281124498,0.110294117647059,75
"Zip","01022","Chicopee","MA","Springfield, MA, MA","Springfield, MA",,4.02430019467007,,,,120200,1.00840336134454,4.70383275261324,0.128352745424293,,0.105660377358491,0.142857142857143,75.5
"Zip","01026","Cummington","MA","Springfield, MA, MA","Springfield, MA",,2.10042290394039,,,,219700,-0.136363636363636,7.90766208251474,0.0478516158397815,,0.0942028985507246,0.153846153846154,88
"Zip","01027","Easthampton","MA","Springfield, MA, MA","Springfield, MA",,3.12277639793247,100,0.0769,1.96,266700,0.414156626506024,8.41463414634146,0.0336820397450319,,0.0276203966005666,0.0256410256410256,66
"Zip","01028","East Longmeadow","MA","Springfield, MA, MA","Springfield, MA",,4.67745183594012,90,0,0,261800,0.576258163657319,5.9919028340081,0.0517341482047364,,0.0507892930679478,0.0675675675675676,86
"Zip","01030","Agawam","MA","Springfield, MA, MA","Springfield, MA",,3.90414177351145,100,0.1429,0,246600,0.488997555012225,2.92153589315526,0.0589618815896189,,0.0425742574257426,0.0581395348837209,82
"Zip","01033","Granby","MA","Springfield, MA, MA","Springfield, MA",,3.43961871517755,100,,,250400,0.200080032012805,3.81426202321725,0.0435383386581469,,0.0365965233302836,0.125,88
"Zip","01034","Tolland","MA","Springfield, MA, MA","Springfield, MA",,4.02832785124522,100,,,269700,0.222965440356745,4.61598138091544,0.0437078235076009,,0.0845070422535211,0,78
"Zip","01035","Hadley","MA","Springfield, MA, MA","Springfield, MA",,4.30489360273881,100,,,346800,-0.230149597238205,8.71473354231975,0.0207843137254902,,0.0307262569832402,0.0454545454545455,88
"Zip","01036","Hampden","MA","Springfield, MA, MA","Springfield, MA",,3.03752433375847,100,,,269000,0.523168908819133,2.7501909854851,0.0525055762081785,,0.0578313253012048,0.0833333333333333,78
