"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12"
"Mar Vista","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399000,1527000,1482000,1495000,1399000,1499500,1500000,1549000,1497000,1500000,1499500,1586500,1604000,1595000,1585000,1517000,1485000,1399000,1490000,1499000,1495000,1497000,1525000,1500000,1492500,1487000,1455000,1412000,1485000,1499000,1515000,1515000,1497000,1585000,1596500,1557500
"Coral Way","Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",214,222250,225000,213500,209950,215000,199900,199950,199000,185000,180000,199900,199000,195000,212500,224450,219700,225000,235000,239000,249000,250000,259500,263500,274500,270727,275000,249900,250000,249000,249000,250000,259200,272500,226900,231000,238189,264900,267900,237500,249894,273900,279925,298977.5,289450,296800,309000,315000,3e+05,299999,299000,3e+05,310000,301620,299900,310000,320000,334999,325000,320000,320000,325950,344600,340000,345000,339500,345000,349000,344950,350000,360000,369000,369500,375000,410000,398000,378469,379000,387025,379000,394400,420000,410188,425000,425000,429000,425500,412500,416500,415000,420000,425000,419500,418000,420000,420000,425000,430000,425000,425000,429000,425000,425000,429000,419500,435000,429500,425000,427000,437000,434000,429000,419000,405000,415000,399900,420000,419950,419000,399000,416500
"Parkchester","New York","NY","New York-Newark-Jersey City","Bronx County",215,143000,149000,149000,145000,142500,138000,135000,135000,135000,125000,129000,130000,130000,124450,124000,120000,120000,120000,120000,125000,124000,122000,125000,119900,120000,119000,115000,116437.5,115000,112000,112000,119000,120000,125000,126000,127500,125000,120000,119900,120000,116000,115000,110000,110000,109000,114900,118500,125000,127000,129000,125000,119500,110000,115000,122450,128000,125000,120000,115000,119000,119000,115000,120000,125000,125000,125000,125000,122500,121500,125000,125000,125000,125000,130000,125000,129000,128000,130000,140000,140000,140000,140000,139500,133990,139000,140000,139000,140000,149999.5,150000,150000,149000,157000,155000,152608.5,155000,159000,160000,160000,165000,168000,179200,175000,187450,186500,181500,185000,185000,180750,185000,189450,187000,185000,185000,189000,199000,199000,199999.5,216944,215000
"North","Arlington","TX","Dallas-Fort Worth-Arlington","Tarrant County",216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299900,302450,299900,299900,299900,315000,298900,277950,289915,287500,294050,305000,349700,337450,310000,334900,334900,349900,325000,319713,329900,335368,345990,352019,348020,353618,349900,345000,340490,340000,340000,335000,339762.5,346907.5,358995,358990,350000,358990,359990,354960,348900,354177,358500,362245,360000,362500
"Edenvale - Seven Trees","San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699000,759000,769000,769000,779900,754925,760000,767450,765000,758500,775000,786500,786500,785000,769000,727500,749500,770000,749500,749000,729000,729000
"Bay Area","Corpus Christi","TX","Corpus Christi","Nueces County",218,159900,159900,154950,155000,155000,155000,154900,154900,155250,154000,154000,149900,149900,158500,159999,164900,164950,159900,165000,165000,169900,174000,169949.5,169999,166850,169900,169900,164900,169900,169900,159949.5,159999,153500,154200,155950,157450,149900,149900,159000,159900,159250,159900,159500,158000,155000,159000,164999,169900,168000,172000,169700,179250,185000,199450,205000,199900,179900,174900,169750,169750,169000,169500,182450,186950,189900,195000,203450,199900,199000,199000,189950,197500,207000,195000,195000,199900,191250,194900,189900,189000,179900,185900,187000,189925,189900,187500,189900,197000,199900,199900,199000,205000,199900,199900,199900,208000,189900,184950,194500,199900,199500,199900,202450,199949.5,209950,209900,199900,199900,195000,189900,197000,190950,203475,215000,215000,208500,199900,199900,199900,194800
"Greater Heights","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",219,299000,297900,294900,299000,299900,299900,299000,299000,299000,295000,295000,292900,292900,295000,299000,297950,299900,299000,299000,299000,295000,294990,295000,299900,299900,302000,302495,309000,319000,324900,319900,317990,320000,319900,329000,339995,340000,349000,350000,369000,379950,379990,389250,399000,399947.5,399900,4e+05,399992.5,425000,429900,436377,435000,449450,449995,459900,469900,485000,489900,490000,495000,489900,499000,489000,489900,479900,477000,479900,479450,475000,484900,475000,475000,475000,482000,494895,489900,494900,489900,485000,489900,484554,466300,475000,475000,475000,479000,481224,489000,485000,489000,499900,5e+05,507000,512500,509000,499900,499999.5,499000,495000,499000,499900,492500,499000,489000,490000,499000,489950,489000,498500,499000,499900,515000,509900,5e+05,499900,495000,499000,499000,499900,499500
"Watts","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",220,129000,135000,135000,145000,150000,150000,149994,150000,149999,150000,149999,145000,146777,140000,139900,140000,140000,150000,149900,144900,144900,140500,140000,136300,137350,139900,140000,145000,149999,155000,162000,160000,160000,159950,165000,169900,179000,184900,185000,189000,189450,197000,199900,199900,196450,198000,210000,209450,209000,225000,219900,216400,229900,239000,248444,239250,249450,249000,240000,240000,245000,252350,249900,249450,249000,250000,265000,269000,278999,282450,275000,279950,289900,290000,290000,289000,290000,299900,299900,315000,302450,309949.5,309900,309900,317500,319950,309900,315000,310000,302500,312500,319500,329000,347250,345500,345000,339900,345000,365000,365000,354500,359000,369000,375000,375000,379000,380000,380000,385000,385000,386500,387000,379950,382000,389000,389000,397450,399444,399626,4e+05
"Woodhaven","New York","NY","New York-Newark-Jersey City","Queens County",221,399000,399999,395000,395000,399000,394000,389000,389000,388940,389000,389000,389000,389000,389000,379000,380000,380000,378000,369000,372499.5,375000,367000,359000,359000,359000,364495,364500,355000,349000,349000,369000,379999,379000,379000,379000,379000,381400,375888,369000,379000,381495,389000,389000,399000,383990,399000,399000,404999.5,429000,419900,429000,429000,438000,438500,429000,448000,449000,458950,449500,465500,464450,469000,460000,450000,455000,479000,479000,490000,499000,499000,499000,499000,499000,499000,499000,499000,499495,529000,525000,550000,550000,550000,552500,549000,549000,539000,545000,549900,549999,569000,589000,599000,595000,599000,597000,592000,595000,599000,599000,616500,619400,618000,618000,615000,609995,616500,603999.5,599000,599900,608000,596899.5,598000,599000,599500,594500,620000,618480.5,628500,625000,619500
"Harbor Gateway","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",222,297888.5,324900,349000,329900,319900,299900,319000,315000,315000,299499.5,305000,299000,299000,282500,299000,3e+05,299900,299900,299000,295000,285000,280000,279000,289450,287250,269900,269900,268800,284500,289000,3e+05,292450,294900,305000,299900,324000,324000,325000,325000,349600,354500,350000,379995,387000,390000,389000,382500,389950,392500,409950,404950,395000,385000,399000,407000,409000,420000,419000,419450,419000,399900,410000,420000,428500,435000,414999.5,425000,430000,432200,442450,440000,444950,449000,435000,444500,465000,465000,469000,464450,475000,475000,466950,457000,455000,475000,465000,480000,477450,498000,497000,499000,529444,517500,534950,539900,534900,525000,527450,549000,560437,564999,554500,542450,549900,569000,569000,575000,579900,575000,589950,593750,569000,575000,575000,589870,595000,599000,599000,634431,634000
"North Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",223,527000,549900,549900,549999,530000,525000,519000,515000,499000,499000,499000,489000,489000,499900,499999.5,515000,499000,499000,479000,479000,479000,490000,475000,464999,469000,469000,474900,473500,469000,483000,475000,450000,447450,475000,478500,511238.5,527000,539350,579500,595000,599000,599000,575000,569000,599000,599450,599900,636500,634500,634000,619000,659000,616000,622200,650000,662500,598500,590000,629500,675000,649000,704750,699000,699450,750000,744500,692450,725000,745000,725000,749500,750000,739500,750000,795000,820000,859000,871950,855000,898299.5,898299.5,899000,895000,857500,855000,885000,934500,990000,985000,995000,942500,874950,907499.5,967000,965000,899749.5,899000,875000,935000,950000,929000,929000,899000,899999,874950,881450,890000,865000,850000,869000,850000,895000,865000,849250,8e+05,795000,795000,797170,798000,769380
"Mid Wilshire","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1363500,1250000,1121303,1137500,1110151.5,1189000,1295000,1279950,1365000,1490000,1649000,1664500,1695000,1495000,1478000,1499000,1492500,1492500,1492500,1665000,1754500,1750000,1790000,1797000,1797000,1574500,1524500,1450000,1469750,1499000,1649500,1672000,1777777,1695000,1599000,1600000,1595000,1500000,1595000,1695000,1835950,1695000,1769000,1772250,1795000,1881000,1795000,1750000,1795000
"South Loop","Chicago","IL","Chicago-Naperville-Elgin","Cook County",225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269900,250000,259000,275000,269900,269900,287450,328000,340500,334000,335000,373950,337000,348900,339900,320000,325000,331450,349000,325000,349700,349900,349000,350499,355000,349900,350000,324900,309900,319900,349500,345000,344950,345000,335000,329900,329900,339900,339900,343880,349000,343880,334350,349900,354900,355000,357600,359000,365000,380000,375000,374900,371440,385000,389850,390000,395000,399000,380000,379900,390000,390000,389000,385000,390000,398000,4e+05,389450,389900,395000,395000,399000,395000,399000,399000,395000,395000,395000,395000,399900,399999,399900,4e+05,4e+05,413500,415000,419700,415000,415000
"Humboldt Park","Chicago","IL","Chicago-Naperville-Elgin","Cook County",226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375000,388450,382000,349900,354900,350000,350000,359000,355000,362500,380000,385000,380000,364900,350000,349000,369400,369999.5,369949.5,365000,375000,375000,387000,399900,4e+05,399950,399000,389894,382500,369450,355950,353950,350000,349900,340000
"Mission","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200000,1150000,1149500,1149000,1149000,1137000,1225000,1185000,1248800,1273900,1195000,1169814,1191000,1299500,1249000,1225000,1225000,1182000,1149000,1196500,1299500,1199000,1195000,1149000,1039500,1199000,1195000,1249000,1249000
"Gage Park","Chicago","IL","Chicago-Naperville-Elgin","Cook County",228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164950,154950,154900,138900,145000,155000,144900,159900,155000,155000,159900,172450,174950,179000,182000,177500,179750,189000,188950,192000,189400,189900,192460.5,199900,202200,210000,205500,199900,194900,192900,185000
"Lower Valley","El Paso","TX","El Paso","El Paso County",229,99500,104499.5,104250,98950,101975,98000,97750,95000,94950,97500,95000,92250,95000,89975,89975,89950,93500,95000,95000,95000,95000,97500,101950,99200,99200,111950,105000,108950,114900,109750,109500,1e+05,99750,94900,93750,90750,92500,99900,99949.5,99700,105450,103950,101925,104950,107500,112450,113450,114450,113450,113450,113450,114950,109900,105000,99900,105000,98650,105000,89950,89450,93450,92000,95000,99000,95000,94950,94975,89950,93000,89000,87500,88050,92000,98500,102249.5,102000,94949.5,89900,99500,98000,94000,93250,93500,100250,108000,106000,99500,97150,98400,99000,99995,104000,99000,98750,98750,110700,99125,96000,99750,100997.5,101995,102497.5,101497.5,105475,101250,1e+05,1e+05,104900,104975,1e+05,110000,111450,116500,116250,129000,119925,119950,124820,119875,119150
"Bridgeport","Chicago","IL","Chicago-Naperville-Elgin","Cook County",230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325000,369000,369900,353500,362000,369900,392000,369000,350000,339900,334900,374950,359000,367450,404700,404700,397000,379900,397000,379000,399000,415000,432500,399000,426000,399000,409000,409000,394000,417000,399900,429000,429900,442000,432450,439000,429000,439000,439000,445000,439000,439000,450000,449000,448000
"Morningside Heights","New York","NY","New York-Newark-Jersey City","New York County",231,,,762500,695000,625000,625000,548000,529000,589500,545000,562500,575000,549500,525000,549000,549000,549000,549000,545000,545000,532000,525000,545000,545000,547000,545000,475000,475000,482500,499000,525000,499000,485000,485000,509500,499999,480000,509000,552500,599000,635000,574500,635000,719000,630000,562250,537500,529500,529000,527000,527000,510000,510000,530000,525000,539000,545000,575000,577500,607500,605000,605000,630000,639500,650000,649500,650000,650000,667500,650000,677499.5,687499.5,695000,662500,685000,699000,699000,677500,672500,687500,680000,675000,691500,699500,725400,754000,750000,750000,754500,750000,750000,740000,727400,749500,749000,749000,765000,769000,749500,775000,775000,765000,750000,742500,745000,725000,724570,705000,725000,749000,739500,777000,849500,850000,877000,880000,990000,949000,949500,990000
"Edgewater","Chicago","IL","Chicago-Naperville-Elgin","Cook County",232,210000,225000,225000,219500,214900,207500,209000,209900,195000,198000,195000,185000,177900,178900,187500,189000,180000,179900,179949.5,179900,179900,175450,172000,165000,155000,165000,162900,162500,164250,159450,158950,149900,148900,154950,154900,149900,154900,160000,162450,167000,179000,185000,189900,188700,185900,182000,184950,179000,184900,189900,199900,189900,197000,205000,215000,215000,208950,199000,182450,174900,174900,180000,199000,199000,205449.5,201200,202500,205000,207000,210500,214000,210000,219000,209900,199900,209900,209900,209000,214900,214450,225000,229900,229900,224900,225000,229900,229770,225000,227000,225000,224777,215000,220000,222250,224000,206200,215000,215000,234900,239500,239000,239999,235000,230000,239900,247000,241000,235000,248900,249900,249000,239250,249000,249500,245000,245000,239900,244450,248400,249000
"Green Valley North","Henderson","NV","Las Vegas-Henderson-Paradise","Clark County",233,179900,179000,177500,175000,172900,169999,169000,159000,159900,154950,149900,149900,143900,144900,140000,140000,140000,139000,139250,136000,139900,137750,138500,138000,132000,139450,138000,137750,145400,150950,144900,149700,149900,145000,148800,144800,146900,148900,158000,165000,167500,170000,165000,179900,185000,190000,182500,190000,194250,2e+05,199400,205999,214000,219000,210000,225000,225000,230000,229900,224950,222400,228950,229990,237500,239900,247000,249900,242700,249894,247434,246434,239990,239900,246700,256997.5,259999,259000,249990,249900,249000,259989,258000,260000,256694,257500,256000,269000,269000,270000,279000,285000,279900,289000,289900,286749.5,279900,285000,295000,315000,334995,325000,315000,314900,313450,314999,315000,320000,320000,319999,311000,315000,320000,324000,325000,319700,319950,325000,324900,309450,309450
"Newhall","Santa Clarita","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344332,313000,322950,312450,309900,309900,336500,365000,365000,386100,347000,324500,347499.5,388900,397000,409995,399900,420000,419900,419900,397000,425000,425000,396250,442700,383500,422450,425000,449000,449000,399499.5,431800,445000,430000,420500,4e+05,437475,444950,468900,439950,459995,465000,482500,474500,475000,434450,432449,465000,489950,499450,479450,480000,489055.5,487000,485000,529999,528800,534999,539000,528900,544450,553000,564000,544950,549900,575000,549949.5,589000,580000,610512.5,609000,599900,584500,575000,589900,589900,579900,577450,569900,577000,589900
"Parkway Village-Oakhaven","Memphis","TN","Memphis","Shelby County",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54118.5,50000,47600,49900,45000,47000,47650,49900,49000,47500,45900,49900,49500,45950,47750,45000,47000,46500,47000,48500,49000,49900,49450,49000,49950,54600,57900,56000,59500,57810,58000,58500,59000,59000,55000,60000,59900,57000,55000,60000,60000,61266,60500,62500,67900,64000,61337.5,59900,64308,65500,67000,67900,69750,67250,69900,70000,71094.5,70000,69900,68700,68900,69995,69700,70000,71450,71000,71450,75000
"South End","Tacoma","WA","Seattle-Tacoma-Bellevue","Pierce County",236,160000,159950,159950,159000,154900,154900,154000,154900,154950,150000,149950,149900,144950,139950,137950,134900,130000,129950,127950,125000,124900,121836,119000,110156.5,111225,115000,119995,119800,119000,119975,129000,125950,127000,124950,125000,124900,120000,123000,129450,129975,129950,135000,139925,139900,139975,138950,140000,139900,139200,135750,144900,144950,144900,149000,148950,149500,147000,144900,144000,145000,144700,145000,149000,149950,159999,165000,164900,167000,169950,172900,174950,175000,175000,174000,179875,174900,178925,189900,199950,2e+05,199950,199950,199000,199950,199950,199975,204750,209950,214950,215000,219950,223950,224475,224725,223475,224975,224974.5,232000,239475,240975,249950,254000,255000,259950,259950,259950,258000,258250,258250,259000,264000,266250,269950,269950,272444,274950,269950,269950,272000,270000
"Bayside","Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",237,220000,219900,219900,219900,218450,219900,219900,219500,216500,215000,212500,207000,204950,207000,203000,201000,207000,199999.5,204900,209900,209900,209000,199999.5,201000,209000,202900,212450,213900,214450,214900,209900,199949.5,199900,199900,199900,204950,205000,201500,207900,209949.5,199900,202450,215000,215000,215000,218950,213400,215000,219900,220000,229000,229900,226100,229950,229900,229500,224700,220000,220000,218950,215000,224900,224900,227500,229900,234900,242000,239450,239000,229900,232000,228999,226941.5,225883,229900,238500,230000,230000,229700,233000,230500,225900,229000,219900,221500,224897,226450,239000,236450,245000,239900,237450,234900,229000,235000,233750,235450,235000,238950,239900,247000,249350,249900,249000,240000,244000,240000,239949.5,239950,239250,250000,249900,255000,249900,249900,244999,249900,249000,249999,254900
"Lake View East","Chicago","IL","Chicago-Naperville-Elgin","Cook County",238,285000,276450,269999,276900,269000,270450,269900,269900,269000,272000,273700,268900,267900,269900,269900,274700,269950,265000,265000,265000,259000,259000,255000,250000,257000,259000,256900,250000,245000,225000,225000,248250,259500,267000,275000,262500,257500,258500,276950,289900,289000,289900,296500,289000,295000,290000,279900,275000,274950,279900,277750,275000,269900,282400,274900,284900,282500,289450,274900,274900,270000,269000,269900,275000,263750,259900,259000,252250,254500,259450,265000,279000,274900,285000,283000,279450,279000,280000,289000,294500,299900,315000,334900,342500,367450,379450,359450,330000,325000,330000,332450,330000,364950,359900,349000,360000,346450,338750,349900,325000,324950,319000,299950,317950,315000,315000,299994.5,3e+05,292450,295000,291250,299625,304500,3e+05,309949.5,307000,299999,299000,290000,295000
"Fort Greene","New York","NY","New York-Newark-Jersey City","Kings County",239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940000,930000,999000,975000,1050000,1100000,925000,899000,930000,949000,960000,995000,1010000,995000,980000,970000,969000,927500,950000,965000,995000,999000,989000,965000,989500,960000,950000,970000,1100000,1065000,999500,999000,999000,975000,995000,975000,1075000,1060000,1060000,995450,1047937,985450,1022950,959000,962000,972000,945000,895000
"Whitestone","New York","NY","New York-Newark-Jersey City","Queens County",240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695000,703999.5,728000,735000,748888,788000,788000,798888,799388,799888,859000,878888,849449,850000,850000,858944,878944,871500,818500,850000,781000,760000,799999,876500,899999.5,928000,919000,928000,928444,899000,898500,928000,888444,875000,899999.5,890000,870000,888888,870000,849900,875000,875000,849900
"Fern Creek","Louisville","KY","Louisville/Jefferson County","Jefferson County",241,159900,159900,159900,156425,156853,159900,164900,164900,167700,164900,159995,159990,156200,152000,154900,152250,153000,149900,150000,149994.5,149990,146950,149000,147225,150000,154950,150000,149900,148000,149900,156736.5,159900,155950,159950,159300,159900,161050,155000,159900,159900,163000,166000,161225,159975,159900,155000,150000,144900,142000,147495,151925,159900,159000,158250,155000,155950,149000,146700,151495,157900,160000,168900,177500,177500,179900,188500,179900,182450,178750,174900,186200,186200,195000,191000,184900,192000,194950,199900,192500,192250,209900,209900,195000,185000,189500,202499.5,199999,205950,215000,205925,195000,195000,204000,205000,195000,199925,198500,220000,226495,226495,235000,236500,234900,225000,229000,235000,239900,247990,246990,246350,253590,242990,254495,249900,249990,240750,248990,247255.5,249900,247490
"West Oak Lane","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",242,124900,119900,122250,124900,125000,124900,124900,125000,125000,125000,125000,124900,124000,125000,124974,124900,124750,120000,122300,124900,125000,124950,120000,119900,119000,124900,125425,121900,121250,119900,119900,111450,114900,115000,119900,115000,112500,119900,119950,119900,121000,121950,121450,123900,123900,124900,122400,119000,119900,119900,119900,119600,119000,119000,115000,119000,119500,119000,119500,119000,115000,114900,114900,119900,119950,120000,120000,124900,125000,119900,125000,124900,124900,124950,125000,120000,124900,126200,119900,127400,129900,130000,128700,129900,129900,130000,131900,131900,129900,129900,133000,135000,139900,138200,130000,124900,125000,137500,137633,140000,144950,149000,148000,149900,150000,149900,149900,157300,149900,149900,160000,155000,160000,164900,164900,165000,165000,159900,159450,157000
"Tarzana","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",243,,,,,,,,,,,,,,,,,,,,,,,,,,,,560000,609500,650000,729000,721750,677425,689900,799000,749000,749000,625000,644500,749000,822000,799000,744000,718500,675000,634999,655000,649900,662000,669000,605000,650000,662500,730000,727500,681250,674975,699000,799000,779975,649400,729000,799000,739000,760000,799000,824499.5,825000,799000,750000,827000,822500,804499.5,820000,755444,755888,779000,799000,799000,799000,799000,897000,850000,899000,899000,874000,889000,889000,999475,1050000,1050000,985000,950000,917450,954450,990000,1099500,1149000,1099000,1099000,1099000,1079000,1089000,1030000,1115000,1079000,1092000,1027000,1e+06,967500,977500,967500,999000,975000,969000,899134,829000,849000,949000,949000
"Anaheim Hills","Anaheim","CA","Los Angeles-Long Beach-Anaheim","Orange County",244,569000,590450,582400,560000,570000,562450,550000,557900,550000,549000,549000,532450,510000,499999,499999,512500,499000,499000,489900,489500,479000,475000,459900,462500,469900,484750,489000,499000,517000,490000,499900,545000,549000,549450,569000,575000,572000,584500,569900,589000,605000,625000,625000,650000,659000,649900,659000,689000,672450,669000,699000,675000,659700,675000,679000,662400,655000,669000,692000,659900,715000,685000,699000,699900,699900,699000,715000,699000,709950,699950,699900,7e+05,722200,724500,710000,7e+05,7e+05,739000,719000,719450,725000,721500,721950,719900,710000,735000,739900,757500,750000,772450,768000,777000,769500,784949.5,785000,767450,767450,769900,775000,799000,805000,825000,825000,829000,799949.5,799000,777000,789900,779000,779000,779000,767500,779000,805000,802450,799000,819450,825000,815000,799900
"South Shore","Chicago","IL","Chicago-Naperville-Elgin","Cook County",245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89900,97000,99000,83500,81500,89000,79950,91950,90000,94750,90000,94700,99950,95000,95000,95000,90000,89950,90000,90000,84900,89900,1e+05,99900,95737.5,93987.5,99900,102916.5,104000,96250,99700,1e+05
"West Hills","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",246,498000,480000,499900,499000,499900,499000,494950,488000,475000,469000,469975,462449.5,465000,464700,468750,470000,459950,469900,469000,469450,449000,439950,429900,439900,439450,444000,429450,438000,437450,449000,469900,460000,450000,454500,469450,472500,479950,521500,549900,560000,549600,549900,550000,549950,532900,529005.5,550000,599000,594250,589700,559900,599000,599000,588000,589000,579900,582500,579999,589000,571999,589990,599000,599000,599000,619500,597000,622450,629000,629499.5,645000,649999.5,649000,647000,649925,654000,678000,678500,659000,658000,649250,645000,659000,664500,672249,679000,679475,685000,679000,694700,699000,699000,695000,699000,699000,699900,699000,679000,699000,716500,729000,729999,735000,734950,735000,724974.5,710000,719000,725000,710000,703950,719450,734900,729000,729000,729000,749000,759000,759500,739350,744350
"North Park","San Diego","CA","San Diego-Carlsbad","San Diego County",247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485000,449000,399000,430000,429000,444450,429900,4e+05,425000,449000,484000,477000,525000,495000,479000,469000,492000,454000,485000,484000,450000,525000,469950,525000,549900,530000,541950,549000,575000,575000,635000,569000,510000,586442,599222,599000,572000,564000,575000,594450,574899,569949.5,524500,565000,569900,548900,550000,558500,639500,642000,649000,637000,689000,684500,659000,622438,624000,675000,699000,660915.5,654500,672500,699000,671500,670000,649475
"Greater Inwood","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112450,120000,121125,119450,118000,116966.5,123000,129900,125750,125450,133950,129900,130000,126000,120000,120000,120000,125610,122100,130000,130000,126450,127900,125950,123000,119900,119900,132000,139200,136000,139245,139900,149200,151998,149900,139900,142000,149900,149900,151998,150000,148887.5,135000,139900,150000,149700,145750,149900,145750,140000,143700
"Charleston Heights","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114900,110000,107000,114900,110000,114950,115000,114900,118250,119999,120000,120000,125000,128000,130000,130000,135300,135450,135900,135900,135000,135000,139900,139900,136000,139900,144945,149000,151500,150000,150000,155000,154900,155177,167900,169999.5,175000,172450,175000,175000,185000,185000,189944,198000,199990,199900,198400,209900,209945,222900,219999,229997,234999.5,230000,230000,231450,233000,231750,234900,230000,229945,225000,229999.5,229086.5,225000,225000,224999,222000
"South Boston","Boston","MA","Boston-Cambridge-Newton","Suffolk County",250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499999,489000,469000,469000,499000,512450,514500,519450,509000,539000,569000,599000,559000,549000,554500,549000,569000,584000,566500,549000,536950,540900,569000,596500,599000,599000,629000,614000,599000,599000,589000,599000,579000,599000,599000,599450,639900,669000,698500,699949.5,698000,699000,735000,717000,739000,749000,749000,750000,798000,779900,798237.5,799900,889000,899000,932500,949000,922000,952500,955000,969000,945000,899000,899900,899000,899000,899000,898950,879000,869000,889000,899000,899000,935000,915000,895000,879999,899000,899000,939000,925000,945000,939000
