"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12"
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",11,224900,219900,218671.5,210000,204000,189000,185500,189949.5,179900,175000,170000,165000,162375,162000,164000,160000,165000,165000,165000,166677,160000,167900,169900,170000,175000,182200,199900,199977,210000,214950,217900,215000,219000,224250,224250,229000,244500,245000,264975,274450,279900,289000,279990,275000,278000,280000,275000,275000,269900,269900,275000,283000,285000,289877.5,289900,289900,286750,289000,290000,295000,299900,299900,3e+05,305000,310000,310500,3e+05,319900,319900,314900,319000,310000,317888,319000,319250,333250,334900,329900,329900,326000,320000,324999,325000,325000,322753,324250,325000,330500,335000,335000,339700,335000,339900,330000,325000,325356.5,328000,339500,349900,359900,350000,345000,344950,339900,339000,349000,345000,345000,349900,355000,359900,359900,353250,359900,350000,350000,355000,359000,365000,369900
"Washington Heights","New York","NY","New York-Newark-Jersey City","New York County",12,357000,375000,359000,369000,369000,369000,378500,375000,378000,379000,392000,399000,4e+05,394000,389000,396500,399499.5,399000,389000,369000,369000,369000,367000,369000,365000,365000,352500,355000,369000,350000,350000,334999,349000,349500,349000,349250,349500,349000,349250,365000,359000,354000,365000,395000,369000,389000,375000,389000,418000,424900,438500,435000,435000,450000,489500,449000,495000,457500,478500,495000,487500,485000,495000,479000,499000,499000,510000,499000,495000,469000,499000,499250,515000,522000,535000,549500,550000,555000,550000,559000,549250,565000,569500,563000,561000,567500,575000,568800,575000,568800,566300,567600,577000,598225,589500,576500,584500,589000,589000,599900,589000,599000,589000,579000,589000,576000,585000,576000,550000,550000,562500,530000,529000,519000,525000,525000,550000,565000,565000,549000
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",13,149900,144950,142000,139900,139900,134900,129000,129650,125000,120950,120000,119900,118000,115000,113250,112950,110900,114900,112250,114000,115000,117900,119000,122000,120000,124905.5,130000,130000,135000,139500,144947.5,150000,150000,150000,157250,162750,165000,169900,175000,184900,185000,185000,189975,187500,184900,189900,189900,188854.5,187000,190000,190450,198000,2e+05,2e+05,2e+05,199000,205000,212000,210000,210000,214000,214000,214000,219900,222950,220000,215000,224000,224000,225000,225000,224900,221950,225000,229000,230000,235000,239900,236000,231000,235000,237900,239000,239900,239900,239000,239900,245000,249900,253000,259900,259000,255000,250000,250000,250000,255000,250000,250000,260000,260990,260000,259900,259900,260000,262000,259900,259900,260000,260995,268000,269900,269990,272000,269900,268598,268000,265000,269000,270000
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145000,148200,145000,150000,149900,149999.5,150000,157183.5,157500,158900,157995,157500,159000,159000,159900,160000,160000,159500,159250,160060,160000,164999.5,170000,175000,179000,179000,179000,179000,179992.5,179000,179000,179900,179000,189000,189500,194900,193320,195000,196950,195000,195000,195000,193999,198500,2e+05,199900,210000,219900,219500,218900,217900,219900,219945,220000,219900,224900,225000,229900,235000,238000,234975,237950,235000,234900,235000,234250,232000,232500,234500,238000,240000,244900,245000,245000,239998.5,239900,240000,240000,244900
"Astoria","New York","NY","New York-Newark-Jersey City","Queens County",15,589120,595840,527000,475000,449000,429000,421660,449000,521850,511750,524700,549000,519500,514500,529000,465000,469500,469000,459000,439000,449750,449500,458000,450000,450000,458000,462000,449000,450000,458000,445000,467000,487000,474950,457000,467000,449000,449500,449000,427000,439000,425000,449000,454500,484000,489000,495500,469000,477000,450000,489000,483000,490000,5e+05,520000,525000,530000,539500,545000,540000,549000,540000,559000,585000,645000,660000,695000,660000,699000,695000,695000,679010,669000,742000,662500,678020,690000,690000,699000,777000,699000,712000,712000,744650,737900,735000,741944,737000,715000,699000,690060,7e+05,684275,692055,690060,694050,702780,688925,711160,715500,715500,715000,715000,699500,710000,699000,710000,680000,677500,704500,710000,723247.5,736500,729497.5,715000,699499.5,697500,685000,675000,672000
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",16,250000,255200,258900,269900,265000,260000,259900,256500,246779,247900,249900,244450,239900,239900,244900,249900,249500,249900,249000,249900,240000,245000,239900,239000,239000,245000,249900,259900,260000,259900,259900,260000,255500,260000,269000,249900,249900,259995,275000,279900,289900,299250,299000,309000,294999,299000,299900,299450,299900,306950,314900,324000,325000,325000,335000,349250,329000,325000,349000,344900,350000,350000,360000,354900,369000,375000,360000,350000,359950,360000,369450,374700,389000,399900,410000,398500,398250,395000,389450,385000,389900,385000,391500,385000,399900,422200,425000,449000,436495,440990,429000,429000,425000,425000,423445,429950,435000,440000,439000,447000,439500,425000,430000,435000,439450,431450,435995,430000,435995,449000,449000,449500,439900,439900,426000,418000,409900,399900,399900,396000
"Bedford Stuyvesant","New York","NY","New York-Newark-Jersey City","Kings County",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1322000,1247500,1062000,899000,899000,899000,930000,925000,925000,925000,925000,899000,899000,877000,890750,899000,865000,850000,845000,822000,825400,779000,752500,750000,750000,769000,799000,795000,799000,825000,834000,839000,850000,850000,849000
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings County",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1337000,1300000,1250000,1200000,1199000,1200000,1250000,1295000,1250000,1180000,1200000,1290000,1200000,1205000,1199000,1150000,1149000,1150000,1175000,1195000,1125000,1127500,1150000,1150000,1149499.5,1100000,1100000,1095000,1135000,1154500,1177500,1142750,1100000,1095000,1134250,1295000,1195000,1200000,1225000,1195625,1195000,1199900,1200000,1200000,1250000,1265000,1249000,1200000,1197092.5,1199000,1250000,1250000,1200000,1199000,1205000,1245000,1199500
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467499.5,549945,569000,644500,599000,627000,627000,589000,570000,562496.5,602500,619000,649000,649000,650000,684500,705910,695000,675000,709990,711107.5,711990,722320,719990,737245,726500,719000,715000,749000,763495,722000,799949.5,805000,849000,839000,809000,755000,749500,731250,749000,799000,799000,758000,740000,747000,727000,732499.5,754750,815000,770000,778000,799000,843450,867000,849750,850000,849000,933750,904000,927000,899000,874000,893350,886750,949000,950000,969000,969000,950000,975000,992000,975000,972000,999000,999000,1025000,999750,995000,1e+06,999000,979000,979000
"Camelback East","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288750,299000,299000,285000,297500,299000,299000,298500,299000,299000,299900,314900,329000,325000,324900,320000,320000,329897,329900,335000,329999.5,339900,345400,349000,349900,349000,360000,359900,340000,368250,375000,370000,379750,385000,399000,399000,395000,4e+05,399000,398450,389950,385000,389000,419900,425000,410000,410000,424900,450000,440000,427566.5,429000,414945,404642.5,415000,425000,419900,432306.5,439000,445000,434999,425000,434000,429000,420000,425000,425000,429970,425000,429000,435000,425000,425000,430000,429400,430000,429900,438500,462250,469000,463000,469000
