"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,0.834731543624161,0.857640177522113,0.851851851851852,0.823991031390135,0.874805357277531,0.929284206486279,0.97351598173516,0.863991081382386,0.842754367934224,0.813736903376019,0.9,0.809040453729961,0.796920289855072,0.813736903376019,0.789183222958057,0.817708333333333,0.838129496402878,0.856115107913669,0.831695331695332,0.837837837837838,0.831186868686869,0.806995327301369,0.882079851439183,0.922621624512331,0.861859548474106,0.862110311750599,0.868478260869565,0.861895161290323,0.854044458166101,0.868478260869565,0.854430379746835,1.00118273211118,1,1,0.984372122907436,0.905427631578947,0.916666666666667,0.945019464163041,0.948300970873786,0.974965181058496,0.946028243601059,0.918392234033391,0.900286769709342,0.928423236514523,0.943869793339758,1.01990049751244,0.996753246753247,0.992017416545718,0.950346561662975,0.972309582309582,1.02254850550603,1.00888888888889,0.964858985163554,0.980115990057995,1.03635887748367,1.14478114478114,1.04353414823438,1.04,1.04435564937676,1.07258064516129,1.07146089204913,1.16729603729604,1.07918618716569,1.03940043564476,1.05534105534106,1.1179241528391,1.059375,1.14864864864865,1.15909090909091,1.12704425988225,1.19489319333816,1.25822183419212,1.25,1.24461844050259,1.2625,1.30824607329843,1.36842105263158,1.33850364963504,1.47663551401869,1.41323024054983,1.41431261770245,1.4025,1.41629358342461,1.42128279883382,1.45791915175613,1.43224829674489,1.43224829674489,1.43224829674489,1.38937282229965,1.36355140186916
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,0.75,0.741758241758242,0.722222222222222,0.722222222222222,0.735294117647059,0.746053993679852,0.744927536231884,0.787215411558669,0.805767599660729,0.763016157989228,0.791855203619909,0.81325967303345,0.783475783475784,0.791855203619909,0.759734093067426,0.756938603868797,0.755208333333333,0.770833333333333,0.771192528735632,0.74878640776699,0.745201467559217,0.765202116585704,0.757864632983794,0.74702380952381,0.756938603868797,0.757864632983794,0.757040730505827,0.741363333622911,0.752930457052797,0.759878419452888,0.759878419452888,0.767045454545455,0.76298352409419,0.759734093067426,0.758587786259542,0.777777777777778,0.780891299357208,0.777777777777778,0.780891299357208,0.778325123152709,0.770158838395377,0.770269238842139,0.767459708365311,0.772015655577299,0.781800391389432,0.778816199376947,0.798286604361371,0.789141414141414,0.810626943737631,0.8125,0.820016820857864,0.828640691514008,0.824118198110134,0.823863636363636,0.842945874001775,0.842945874001775,0.825157555094613,0.820953870211102,0.902184235517569,0.906225374310481,0.867052023121387,0.88309503784693,0.90799164559745,0.89207650273224,0.884410657021404,0.934959349593496,0.947368421052632,0.904761904761905,0.909090909090909,0.955497382198953,0.881372549019608,0.943396226415094,0.942350332594235,0.871578947368421,0.965952999859491,0.917570153061224,0.954945054945055,0.9765625,0.994789946690569,0.973393635900244,1.00842105263158,1.01927558257345,1.05052631578947,1.10664479081214,1.0952380952381,1.04355716878403,1.01950354609929,1.11875,1.15384615384615,1.15384615384615,1.16844349680171,1.18790496760259,1.15384615384615,1.16210526315789,1.22370936902486
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.830708661417323,0.849900596421471,0.792361111111111,0.854487665925306,0.875626174343305,0.874751491053678,0.877684407096172,0.933117583603021,0.961977186311787,0.898605830164765,0.898605830164765,0.884210526315789,0.897550673843589,0.904572564612326,0.934643274853801,0.886842105263158,0.846315789473684,0.846315789473684,0.878947368421053
"Upper West Side","New York","NY","New York","New York",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.06051437216339,5,4.98286766622238,4.95556729810568,4.94152046783626,4.91479820627803,4.87379361544172,4.92177314211213,4.96940697533115,5.00394520296222,5.04824561403509,4.98301245753114,4.95642944128281,4.94839677972666,4.95048521412102,5,4.94839677972666,5.00373412994772,5,5.08002392344498,5.09942602040816,5.03189227498228,4.994375,4.99375,4.94053064958829,4.53798126951093,4.89210526315789,4.9,4.85087378999483,4.81036077705828,4.84918347742555,4.84918347742555,4.92337052260716,4.94053064958829,4.88961988304094,4.94811320754717,4.89210526315789,4.88768414939789,4.89035087719298,4.86301369863014,4.91392686559651,4.93957792708547,4.90454545454545,4.90627969591384,5,4.90222005348506,4.93896580022996,5.00008135068815,4.99285714285714,4.94338360436404
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,1.55511263557986,1.5527950310559,1.55,1.55,1.52429922591213,1.62733324190389,1.59378008813509,1.54347826086957,1.60388111656593,1.56032654638553,1.5625,1.55,1.5927750410509,1.61576354679803,1.61576354679803,1.60714285714286,1.64416070967186,1.62138138138138,1.6432153315206,1.66015625,1.70612813370474,1.70612813370474,1.70612813370474,1.76363539898132,1.72912098863863,1.7037037037037,1.74205202312139,1.72068965517241,1.68181818181818,1.68964523501938,1.70734978113808,1.70172036105322,1.66304347826087,1.72602204648934,1.68589174800355,1.66666666666667,1.6965,1.695,1.8107476635514,1.92857142857143,1.91569282136895,1.89873417721519,1.91496739077636,2.10723071395008,1.94117647058824,1.93073316283035,1.90957446808511,1.80319715007215,1.84287439613527,1.86385737439222,1.85185185185185,1.8763557483731,1.91666666666667,1.88405797101449,1.90797997644287,2.04325272428721,2,2.04761904761905,1.975,1.99545454545455,2.04173913043478,1.99555335968379,1.97467040686944,1.99952963311383,1.95397597699684,1.99337748344371,1.99697570505117,2.05555555555556,2.16521421197522,1.97642163661581,2.0701581027668,1.97456886991239,2.13537431070016,2.16444892844176,2.08933077578858,2.13147352651487,2.06106870229008,2.08636363636364,2.1909375,2.19080592105263,2.18181818181818,2.1927380952381,2.21359649122807,2.2094298245614,2.18587447478992,2.21606648199446,2.275,2.27827502034174,2.26499863648759,2.309375,2.29417338709677
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98608115275813,1.98019801980198,1.91896645021645,2.10240498193441,2.00909665539891,1.88194444444444,1.95169082125604,1.875,2.09938271604938,2.09090909090909,2.12693798449612,2.11538461538462,2.13026444662096,2.21666666666667,2.22701037613489
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,0.674915635545557,0.66510172143975,0.667008898015058,0.675027095858586,0.653091864904956,0.652400835073069,0.652709359605911,0.669642857142857,0.668321233973063,0.677035681610247,0.66735112936345,0.66735112936345,0.664767331433998,0.672199041559944,0.651709401709402,0.651041666666667,0.658285714285714,0.65320197044335,0.664741525248772,0.668058455114823,0.676091220371663,0.666071428571429,0.664944546194546,0.662878787878788,0.651444547996272,0.65320197044335,0.616016427104723,0.620851738968926,0.636574074074074,0.643931256713212,0.651041666666667,0.666278166278166,0.661936753890777,0.661111111111111,0.66510172143975,0.662251655629139,0.647487844408428,0.652709359605911,0.662650602409639,0.66562091503268,0.665686274509804,0.665686274509804,0.666234317972617,0.662138229213936,0.671296296296296,0.671296296296296,0.678722118448522,0.677453027139875,0.678496868475992,0.698974836905871,0.704592901878914,0.703703703703704,0.704148302791309,0.694768951194185,0.692663086400253,0.72645557875203,0.730688935281837,0.705329153605016,0.74174636246554,0.754310344827586,0.704592901878914,0.719249750124938,0.719535018265731,0.71611909650924,0.726944913303667,0.732758620689655,0.722727272727273,0.770020533880904,0.76959684082753,0.795096322241681,0.786463298379409,0.796428571428571,0.799170511506038,0.8250912021537,0.861169102296451,0.852941176470588,0.836039217753413,0.838675213675214,0.832438238453276,0.840597758405978,0.861465122161712,0.873526259378349,0.879003097652615,0.878885316184352,0.870327952297848
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06955221981936,0.927420461999217,0.964467005076142,0.969230769230769,0.962962962962963,0.962419798350137,0.955066921606119,0.946128422231363,1.00044483985765,0.972267331871223,0.937808489634748,0.937192118226601,1.01010101010101,0.99257751459824,1.04166666666667,1.0184043087036,1.02642276422764,1.03189493433396,1.04300082101806,1.04520011724327,1.04951560818084,1.04433497536946,1.05193507454795,1.05691056910569,1.05102040816327,1.06303418803419,1.06842105263158,1.11346765641569,1.12654320987654,1.15169760934909,1.14345114345114
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",9,,,,,,,0.763829440300029,0.71377331420373,0.794016773784477,0.804924242424242,0.818761384335155,0.783972440959737,0.802177858439201,0.813084112149533,0.793718166383701,0.807427421063785,0.800186567164179,0.818639798488665,0.855042016806723,0.828460038986355,0.82528771180087,0.812575631853962,0.855536332179931,0.853221957040573,0.827485380116959,0.846994535519126,0.846153846153846,0.850340136054422,0.85274734215665,0.849518732569704,0.848369916733719,0.849443969204448,0.845708775313404,0.835065753918213,0.836065573770492,0.836201932269348,0.867749641662685,0.798084596967279,0.765833333333333,0.842105263157895,0.820957095709571,0.862942462942463,0.876880001353432,0.880136799651188,0.909918107370337,0.913461538461538,0.941850941850942,0.963718820861678,0.925047438330171,0.898472596585804,0.887096774193548,0.921286605763024,0.926920003994807,0.946969696969697,0.934664246823956,0.950954519195421,0.934142114384749,0.882575757575758,0.925542916235781,0.920934411500449,0.954773869346734,0.968253968253968,0.950871783158215,1.03003451955691,1.03085299455535,1.04181951577403,1.03181005428196,1.02112676056338,1.01754385964912,0.991194371629154,0.996107266435986,0.982419855222337,1.08531298705118,0.994809688581315,1.02597402597403,0.952793973427194,1.08870967741935,1.09751609935603,1.03273794220485,1.03743760399334,1.10568295114656,1.0977130977131,1.10892287537024,1.10253364795675,1.14760914760915,1.16971139960172,1.0963096309631,1.22035928143713,1.20209723546235,1.21241050119332,1.23182289774014,1.25103305785124,1.26456876456876,1.2227920212989,1.2004662004662
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",10,,,,,,,,,,,,0.766016713091922,0.79931154736494,0.754884547069272,0.745884773662551,0.757517816499697,0.722462203023758,0.744060475161987,0.754884547069272,0.760152284263959,0.743927125506073,0.748987854251012,0.758928571428571,0.802440374902088,0.835425383542538,0.816046966731898,0.824789915966387,0.807655502392345,0.785195407622092,0.833178869323448,0.819555322128852,0.828781512605042,0.821503131524008,0.837053571428571,0.810473815461347,0.802025782688766,0.826670501069509,0.799798792756539,0.77645486935867,0.829236808723889,0.837053571428571,0.829236808723889,0.833178869323448,0.839285714285714,0.862238622386224,0.883997521572894,0.869061413673233,0.888077858880779,0.895979020979021,0.8546759760438,0.848007414272475,0.861344537815126,0.851203296392504,0.869408329214239,0.935374149659864,0.869061413673233,0.896018710400794,0.935523114355231,0.939385188037479,0.911458333333333,0.935187074829932,0.938508329548985,0.987535953978907,0.935268122211478,0.964763177998472,0.973715651135006,1.02522522522523,1.04166666666667,1.0196144832183,0.951351351351351,1.01139240506329,1.00743533296643,0.935374149659864,0.939980638915779,0.938172877846791,0.965796074634747,0.964,0.987669069975408,0.995238095238095,1.01139240506329,1.0452380952381,1.05257009345794,1.06115107913669,1.06115107913669,1.03589204629028,1.02485089463221,1.0452380952381,1.01357435379215,1.01890756302521,1.07442977190876,1.07717391304348,1.05307076101469,1.04850088183422,1.07622547347839,1.05357142857143
