zipcode,city,SizeRank,1979-03,1979-06,1979-09,1979-12,1980-03,1980-06,1980-09,1980-12,1981-03,1981-06,1981-09,1981-12,1982-03,1982-06,1982-09,1982-12,1983-03,1983-06,1983-09,1983-12,1984-03,1984-06,1984-09,1984-12,1985-03,1985-06,1985-09,1985-12,1986-03,1986-06,1986-09,1986-12,1987-03,1987-06,1987-09,1987-12,1988-03,1988-06,1988-09,1988-12,1989-03,1989-06,1989-09,1989-12,1990-03,1990-06,1990-09,1990-12,1991-03,1991-06,1991-09,1991-12,1992-03,1992-06,1992-09,1992-12,1993-03,1993-06,1993-09,1993-12,1994-03,1994-06,1994-09,1994-12,1995-03,1995-06,1995-09,1995-12,1996-03,1996-06,1996-09,1996-12,1997-03,1997-06,1997-09,1997-12,1998-03,1998-06,1998-09,1998-12,1999-03,1999-06,1999-09,1999-12,2000-03,2000-06,2000-09,2000-12,2001-03,2001-06,2001-09,2001-12,2002-03,2002-06,2002-09,2002-12,2003-03,2003-06,2003-09,2003-12,2004-03,2004-06,2004-09,2004-12,2005-03,2005-06,2005-09,2005-12,2006-03,2006-06,2006-09,2006-12,2007-03,2007-06,2007-09,2007-12,2008-03,2008-06,2008-09,2008-12,2009-03,2009-06,2009-09,2009-12,2010-03,2010-06,2010-09,2010-12,2011-03,2011-06,2011-09,2011-12,2012-03,2012-06,2012-09,2012-12,2013-03,2013-06,2013-09,2013-12,2014-03,2014-06,2014-09,2014-12,2015-03,2015-06,2015-09,2015-12,2016-03,2016-06,2016-09,2016-12,2017-03,2017-06,2017-09,2017-12
394856,"Miami-Fort Lauderdale, FL",8,15675.59,15959.71,16260.67,16520.72,16931.74,17292.86,17586.09,17786.56,18061.96,18293.83,18638.04,18984.94,19302.34,19420.09,19604.84,19745.82,20129.28,20529.75,20951.64,21258.82,21606.57,21975.63,22361.7,22766.18,23166.73,23508.95,23842.54,24252.15,24693.42,25111.56,25503.0,25841.32,26275.77,26737.32,27191.61,27542.71,27935.75,28262.65,28498.32,28641.56,29047.65,29342.23,29594.1,29635.28,29670.06,29627.76,29699.9,29831.36,29989.79,30139.43,30248.69,30305.15,30437.97,30681.14,30901.94,31130.62,31436.3,31669.11,31891.87,32115.18,32359.62,32737.89,32988.51,33153.05,33398.94,33666.47,33932.57,34122.29,34369.17,34646.64,34995.4,35393.74,35808.58,36201.03,36507.72,36650.58,37078.76,37520.29,38229.15,38969.21,39645.81,40292.14,40539.13,40297.61,40427.17,40542.77,40715.6,40572.81,40553.52,40423.92,40271.8,40096.21,39989.79,39924.8,39914.89,39941.92,39942.81,40037.77,40158.31,40478.74,40843.54,41255.87,41664.26,42317.47,42934.85,43573.43,44127.04,44589.02,45342.96,45951.88,46683.32,47302.61,47858.3,48465.79,48703.67,48545.25,48160.59,48079.49,48083.06,48329.86,47695.63,47403.69,46626.6,45751.78,45411.92,45503.75,45699.59,45656.67,45670.75,45672.38,45829.52,46034.95,46031.11,46027.72,46180.25,47096.45,47288.8,47539.49,47192.23,47378.14,47841.65,48453.47,48967.59,49197.41,49502.82,49819.74,50236.15,50789.16,51028.21,51278.73,51472.51,51668.54,51952.71697,52236.893939999994,52521.07091,52805.24788
395078,"Seattle, WA",15,19320.01,19680.66,20143.45,20672.29,21246.89,21698.77,22056.73,22364.01,22703.99,22974.53,23274.75,23629.52,23903.37,24010.28,24134.69,24279.56,24531.8,24796.33,24963.79,25168.39,25414.22,25735.32,26076.03,26468.83,26913.88,27291.07,27676.21,27994.06,28417.18,28822.54,29309.98,29880.04,30313.18,30688.86,30963.33,31533.36,32042.96,32598.78,33013.6,33588.35,34357.42,35061.2,35448.39,35356.98,35548.59,35779.89,36164.24,36418.26,36716.41,37024.5,37176.51,37154.07,37281.58,37381.36,37497.55,37722.82,37812.93,37978.69,37840.88,37889.74,37867.29,38041.51,38178.52,38504.39,38771.72,39122.44,39456.72,39820.61,40415.36,41093.33,41931.84,42652.9,43548.64,44418.49,45191.9,45754.72,46752.92,47885.43,49075.55,49871.29,50792.49,51391.63,51759.56,51712.55,52261.51,52338.54,52273.98,52167.6,52360.91,52729.86,52601.43,52273.17,52036.12,52112.99,52209.2,52268.09,52416.58,52844.25,53136.28,53260.82,53267.1,53410.66,53681.87,55971.97,56531.5,57250.54,56170.15,56998.96,58260.49,59476.52,60444.4,61179.43,62220.54,63598.89,64383.05,64495.41,64285.1,64371.4,64828.22,65699.12,65189.17,64928.79,64226.21,63764.29,63486.32,63704.9,63883.57,63860.02,64186.09,64369.89,64460.0,64116.53,64563.4,65076.71,66026.56,67322.69,67791.82,68176.48,68096.12,68506.8,69503.07,70687.27,72099.95,73151.6,73860.5,74614.16,75373.45,76437.9,77234.56,78117.24,79070.73,80024.03,81404.4445175,82784.859035,84165.2735525,85545.68807
394943,"Orlando, FL",27,14958.31,15235.76,15538.59,15812.14,16236.89,16607.29,16952.77,17250.51,17613.69,17938.69,18377.28,18822.34,19226.7,19442.06,19720.4,19949.67,20415.35,20905.22,21385.7,21714.55,22061.66,22452.11,22877.89,23341.34,23791.2,24189.37,24546.03,24945.97,25359.03,25767.56,26151.78,26485.03,26886.31,27345.6,27822.03,28219.25,28647.27,29019.25,29297.75,29481.28,29919.06,30257.66,30519.86,30529.92,30512.37,30437.4,30470.74,30555.26,30659.19,30762.63,30826.24,30838.0,30915.06,31117.38,31320.24,31555.61,31822.5,32062.2,32262.54,32432.39,32603.45,32930.85,33180.3,33397.46,33679.92,33999.94,34341.79,34630.59,34955.9,35331.76,35808.49,36365.2,36900.78,37448.33,37911.77,38208.07,38754.76,39358.97,40148.52,40867.3,41502.56,42123.19,42522.36,42616.48,43070.9,43537.06,43965.96,43949.9,44025.33,44020.04,43869.96,43566.18,43306.84,43125.96,43074.16,43137.34,43128.49,43265.55,43308.45,43438.19,43563.51,43795.14,44080.34,44685.36,45225.28,45816.72,46284.77,46622.7,47251.31,47750.04,48433.18,49059.01,49599.83,50209.75,50379.54,50079.93,49552.7,49336.58,49255.66,49474.25,48807.29,48476.72,47667.79,46775.95,46443.33,46536.51,46650.13,46429.87,46281.96,46112.12,46147.72,46284.34,46188.59,46116.82,46181.29,46986.65,47053.89,47194.85,46870.98,47213.56,47802.52,48570.47,49202.34,49503.63,49848.95,50233.97,50759.26,51466.55,51826.52,52226.2,52569.8,52917.35,53231.8350435816,53546.3200871632,53860.805130744804,54175.2901743265
394855,"Miami, OK",794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
