Neighborhood,city,state,metro,county,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
Metro West,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,995.0,995.0,980.0,950.0,960.0,985.0,931.0,945.0,975.5,1000.0,1049.0,1029.5,1025.0,997.5,957.5,950.0,950.0,950.0,995.0,1000.0,1010.0,1000.0,1050.0,1025.0,1089.5,1050.0,1100.0,1075.0,1097.5,1100.5,1062.5,1100.0,1100.0,1100.0,1095.0,1150.0,1187.5,1200.0,1100.0,1165.0,1125.0,1100.0,1120.0,1166.0,1249.0,1176.0,1150.0,1210.0,1210.0,1200.0,1125.0,1250.0,1150.0,1255.0,1249.0,1276.0,1275.0,1260.0,1350.0,1350.0,1373.0,1325.0,1300.0,1292.0,1301.0,1328.0,1405.0,1398.0
Hunters Creek,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1359.0,1434.5,1416.0,1413.0,1450.0,1429.0,1441.5,1340.0,1394.5,1480.0,1553.5,1529.0,1560.0,1589.5
Airport North,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289.0,1311.0,1299.0,1319.0,1327.0,1325.0,1359.0,1364.0,1379.0,1419.0,1426.5,1436.0,1509.0,1469.0
South Semoran,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925.0,969.0,950.0,980.0,977.5,996.5,1017.0,1000.0,999.0,1034.0,1037.0,1000.0,1025.0,1075.0,1100.0,1100.0,1150.0,1095.0,1095.0,1100.0
Baldwin Park,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795.0,1610.0,1715.0,1795.0,1670.0,1757.5,1790.0,1835.0,1800.0,1825.0,1710.0,1730.0,1770.0,1810.0,1735.0,1700.0,1838.0
Central Business District,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,1766.0,1952.5,1890.0,1700.0,1700.0,1650.0,1611.0,1575.0,1600.0,1706.0,1750.0,1700.0,1762.0,1725.0,1700.0,1762.0,1812.0,1800.0,1812.0,1812.0,1805.0,1800.0,1812.0,1700.0,1812.0,1720.0,1818.0,1812.0,1940.0,1950.0,1933.5,2000.0,2097.5,2017.5,2072.5,2035.0,1975.0,1987.5,2045.0,1980.0,2060.0,2045.0,1997.5,1815.0,1750.0,2035.0,1865.0,1935.0,1925.0,1985.0,1985.0,2000.0,1890.0,1732.0,1842.5,1812.0,1800.0,1850.0,1990.0,1988.0,1984.0,1988.0,1885.0,1840.0,1899.5,1986.5,1915.0,1954.5
Alafaya,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,1026.5,1012.0,1056.5,1104.0,1107.5,1060.0,1055.0,1082.5,1141.5,1146.0,1145.0,1157.5,1025.0,1050.0,1078.0,1085.0,1073.0,1127.0,1130.0,1040.0,1099.0,1100.0,1063.0,1055.0,1079.0,1070.0,1050.0,1100.0,1050.0,1095.0,1100.0,1129.0,1154.0,1192.5,1192.5,1175.0,1129.0,1120.0,1179.5,1195.0,1184.5,1160.0,1160.0,1138.0,1130.0,1139.5,1211.0,1180.0,1250.0,1300.0,1298.0,1195.0,1195.0,1203.0,1248.0,1275.0,1364.0,1300.0,1344.0,1369.0,1237.0,1236.5,1319.0,1308.0,1300.0,1337.5,1325.0,1325.0,1364.0,1350.0,1389.0,1382.0,1390.0,1398.0,1410.0,1450.0,1481.0
