Zip,city,state,metro,county,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
32822,Orlando,FL,Orlando,Orange,65.9573665017537,64.9407417549687,65.6455142231948,65.6380324224322,66.5714285714286,66.510172143975,63.106796116504896,61.9077134986226,58.301451834412404,57.5858956497851,56.3551150238563,53.738613609268796,54.421768707483,55.6881463802705,56.38297872340429,55.8333333333333,55.3099040015208,55.1753635585971,54.85944134226229,57.7526679221594,56.866071428571395,56.50939059627,56.9698655672378,56.310404928618496,56.1077561789225,55.180860805860796,55.484896661367294,53.6559139784946,58.8581518540318,57.829813302217,59.2991913746631,59.7938180520743,58.579306722689104,57.688888888888904,56.31153496821071,60.975609756097604,60.6261859582543,64.2398286937901,64.8079196217494,66.6900913562895,66.5397663907965,67.0731707317073,66.6951080773606,66.3169700076903,67.2864789196311,71.7228464419476,73.1158605174353,72.3429951690821,75.8064516129032,74.8677248677249,76.38072855464159,77.037037037037,75.4884547069272,75.8177570093458,79.2073170731707,77.5862068965517,79.14634146341459,78.91156462585029,73.1678486997636,74.76485664145851,77.0831374236857,75.8928571428571,74.6938775510204,78.18317200297841,77.3118279569892,76.9794721407625,78.91156462585029,78.04612937433721,79.5320582661161,81.2596749226006,80.8080808080808,83.5681492109039,85.1993865030675,87.5169376693767,85.1063829787234,86.3348283698122,90.7783031911952,88.03611738148979,90.9075757575758,95.61304836895391,95.76073328267479,95.61304836895391,96.80165894675541,96.4814814814815,100.0,100.058858151854,106.07521697203501,104.60988865323401,112.428842504744,109.108159392789,113.204456842689,113.636363636364,111.11111111111099,109.81632038542601,109.108159392789,107.65306122448999,109.61087137557699,109.618519177893,124.252915238775,121.939024390244,122.08549222797899,117.71003904773899,127.027027027027
32828,Orlando,FL,Orlando,Orange,90.316849274504,89.85271765657059,87.6885303402315,87.48712667353242,86.5011926058438,84.54951336061531,82.4415400817539,82.2831671299104,81.374321880651,81.2863514466279,80.5098005128428,79.866103286385,78.5459990958409,76.97044334975371,79.2254549070789,76.515000124897,79.34655775962659,79.6223618848972,79.24552367738791,78.5175879396985,78.61635220125791,81.42469753858991,81.270868214797,81.0641627543036,79.83082904812241,80.81907724209441,80.86876155268021,81.08519269776879,83.48326736236059,85.64814814814821,87.0253164556962,88.0549945466999,85.98638538088758,87.38984809283501,88.4046052631579,90.3614457831325,90.73082058195999,91.50234741784041,95.6960689346417,96.8904912122578,102.231452949359,102.91942366705,103.65251727542,103.22870214860701,105.288376500316,105.754421087754,107.483870967742,107.53824477041,108.483146067416,109.938152045837,109.342729425212,109.46239612960301,109.070652584417,107.97772776731199,108.849557522124,109.64732941477101,109.198493813878,108.385373658134,107.99620909634199,106.681681368743,109.63455149501699,110.044017607043,110.34958601655899,112.360955664157,113.793103448276,115.644409937888,116.33427622731199,118.254475703325,116.38888888888901,116.644822011683,115.521497597612,116.696588868941,117.063989962359,116.091242694896,118.49593495935,119.639803227714,121.213238723554,121.577236257016,121.78362573099399,121.81857797354799,121.52416037937401,123.025699496002,122.91927980315599,124.546553808948,126.89243027888399,127.848666971493,128.22120866590598,129.483370800878,129.46979038224399,129.726976629511,129.98297389330298,129.259058950784,128.726287262873,129.861657298568,131.097789434245,132.167547783652,135.62363238512,135.942982657903,137.492810217214,138.674497392945,139.926517443153,139.561855670103,139.151438773367
32825,Orlando,FL,Orlando,Orange,88.7096774193548,89.0283400809717,88.628762541806,89.1677675033025,86.5294667913938,84.9056603773585,84.8356309650053,84.5376366720737,83.1146106736658,80.6586270871985,79.5789537271958,78.5496957403651,77.06255666364459,76.0658826389522,75.7575757575758,74.4395463862875,76.4498592682991,77.2497448465837,76.0355029585799,74.980252764613,75.2625469162514,76.6666666666667,75.2625469162514,77.3115773115773,77.0107238605898,76.3615670920158,77.3923512711417,76.3582742370176,77.5398175313746,80.4447083160225,82.51623383495891,83.5492227979275,84.5388717993312,85.265650179925,86.22323936840071,87.2208201892744,88.82539682539681,89.8997233748271,90.6645569620253,95.6407766236489,99.60700389105058,100.125418060201,100.055741360089,100.381049214946,101.26000581932199,101.32691150587799,99.02858612188341,98.94950864113859,100.302419354839,103.83653044203501,103.945820479292,103.59275078187001,101.96232339089501,103.485328917335,104.936522515128,104.526135587074,104.526135587074,105.177993527508,104.75861720354601,104.946115393376,104.80277564837,105.24433849821199,105.45550224325001,106.232294617564,107.13067212555401,108.07160975965799,110.1944608132,114.302390857415,113.76424126173401,111.055826746728,112.180595536523,109.841827768014,113.82551764403601,115.781973637335,117.82786885245899,121.31303520456699,123.516720604099,123.88917929953001,122.40057454732599,123.65868263473101,121.843521160656,123.823675086677,123.997565295647,120.826010544815,124.792013311148,128.29650748396298,131.341883015327,134.564771534153,134.577723378213,137.95810606780302,135.040810936576,134.26156141223302,134.28738317757,134.28738317757,136.032593264696,135.853050541461,138.747405289158,140.22676601293,140.242632211859,140.728155339806,139.564600094652,143.26012789583402,143.59719513181102
32839,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.842883452847,101.42083897158301,106.520501395063,104.083333333333,104.48846185905501,114.051094890511,112.56906077348101,110.749185667752,109.073359073359,103.441368821293,103.82513661202199,100.0,109.073359073359,110.073454634962,114.889123548046,116.87260790263399,123.199132111861
32837,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.679256536688,110.63675832127399,109.57252466203899,109.57252466203899,109.60601154732001,108.709175738725,107.230392156863,107.36677115987499,106.028368794326,107.243460764588,111.925518039715,112.057554662222,111.317553810628,113.50532441746901,112.251173116175,113.06742989107401,114.966555183946,113.80169297240101,115.32142857142901,116.184298397234,117.84511784511801,119.73525872442801,120.602699127333,121.484072128305,119.729436508113,120.96357148771001,123.50936967632,123.50936967632,123.684210526316,124.32842393415702,124.606290424983,124.390405762605,125.638841567291,128.018364390697,128.66952789699602,130.346640316206,131.174370002371,129.310344827586,130.06923837784402,131.263026260942,135.78609873348998,135.310963108782,138.588133391078,139.22764227642298,137.768569591736,138.706992230855,139.251629075401,138.807157057654,137.488541746572,136.441402908469,136.183884352097,138.16192707106399,138.137597237926,142.430939226519,147.921914357683,147.791966202631,148.465346534653,149.825783972125,149.862090101134
32835,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.5925925925926,92.50398724082929,94.4584382871537,96.8778618154056,97.7443609022556,99.5118754745881,96.83541356184799,97.80675755779491,97.80675755779491,101.228118380118,99.4318181818182,99.8333333333333,102.710198300283,106.174493977463,107.066816661969,106.044538706257,106.044538706257,103.66826156299801,105.00700280112,105.059892378004,105.84154748278499,105.67612687812999,106.89655172413799,108.44390832328101,107.276119402985,109.393579072533,111.439842209073,110.986052410088,109.286618826509,108.344113842173,108.452950558214,108.483570437705,110.0,116.089527027027,115.261320025917,116.058829062337,117.117117117117,116.998238297808,120.598748882931,120.346758826689,120.506634499397,120.552691691164,122.372308991135,124.370306454951,123.205397178,123.761904761905,125.31441936098301,126.770538243626,130.383795309168,129.055879942038,128.305934242181,127.377398720682,128.962846694244,128.683688550672,132.338028169014,133.175022054774,131.832291572445,132.044198895028,138.47628174413,140.50418459751302,139.215341601421
32824,Orlando,FL,Orlando,Orange,73.558282208589,77.1428571428571,77.09373266777591,76.3057895288046,71.25048437096359,70.3447428649848,67.9247543296361,69.4177857424138,69.789713975598,70.1754385964912,69.56521739130429,67.9414157851912,67.7784058790277,66.22563491206739,67.42957746478871,69.4718841245366,70.1754385964912,72.8813559322034,69.24755692427071,68.2172846996189,70.8163265306122,72.6725620240727,71.25,70.3601108033241,69.2782665329554,68.2162708438605,68.9265536723164,72.02726641606671,74.9558848340967,74.1687979539642,77.29427402795059,76.2331780391419,78.60520094562649,79.454253611557,81.1038305775704,83.4575159173402,84.1092641887034,86.72557283543829,91.1401920625819,89.047124047124,91.33687113860572,94.8596713202727,97.3631323631324,97.98099762470311,98.1767258174063,98.1277258566978,97.90166822764391,98.6843726262636,97.98099762470311,99.4319852941177,99.91672832655078,100.730900860884,102.72133399070299,100.135135135135,104.608090953578,103.84989858012199,102.626131953428,102.233819436277,103.256060709947,103.09544282029199,102.66074600355199,102.81746031746,104.28533007658399,103.795094567861,105.89185129553101,106.776180698152,107.24549643904498,109.028593581418,109.61665376836201,109.360282224594,109.57360647927601,110.676257306339,112.284225183237,113.573232323232,112.359550561798,113.074574265522,114.14151485146601,113.99371069182399,112.0,113.717823395243,114.57670273711001,116.266666666667,116.988573021182,117.48243559719,118.49562081401301,118.902083180017,120.03143665514,117.853560682046,119.742679680568,120.690913340618,121.46945343240299,121.85689865689899,124.551581576042,125.84522915101401,124.483367677362,123.792525103878,127.455157907419,128.09265648102502,130.277994069187,129.843316757741,133.518418900229,135.22372528616,135.069931620623
32811,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.31036833050261,60.993485342019504,65.6862745098039,63.76336992885079,65.4741861766626,67.1785028790787,67.0731707317073,65.6338028169014,66.9814270120584,66.2334000220545,65.2386200892983,67.5850673391209,69.9695842620911,72.3684210526316,72.29532163742691,73.85214007782099,72.29532163742691,75.885328836425,78.4783986175115,77.7906976744186,74.75158730158729,70.8117443868739,71.1193568336425,70.4426357647636,73.2217573221757,71.8390804597701,74.8684210526316,80.1556420233463,80.1424755120214,82.0457018498368,83.6820083682008,87.0930232558139,86.8191478845393,85.4700854700855,85.1884139482565,86.31670425114972,85.121776504298,88.9520080723749,86.2595075609536,88.1201452885524,90.24390243902441,87.6288659793814,87.86212929093391,88.66339899012871,89.57185758818291,88.20798514391831,92.12603627782309,92.35199568875271,95.17565614958271,94.0283400809717,95.96928982725531,96.41344714343691,98.2142857142857,98.31460674157302,99.42642233372108,100.700525394046,103.30920372285401,105.810605396241,106.937060029109,108.433734939759,113.117870722433,115.0,116.074602547645,119.62568221604401,120.544747081712,123.88503468781,124.760076775432
32812,Orlando,FL,Orlando,Orange,105.729696132655,101.85222634508301,101.481827573192,100.111234705228,98.231769178652,92.5462731365683,88.05227906832711,88.8752562168852,95.55768616171301,92.561238474719,91.71218921632321,93.04056568663941,90.5625,85.6019331243469,88.4911470361817,87.33390387664049,85.88469827586209,86.29989212513479,86.2533943384295,83.0757341576507,79.94241842610359,78.0625,77.7581329561528,77.6840979246173,79.0849673202614,79.7182054134223,77.6699029126214,78.32898172323759,80.52560646900271,85.6151870856519,88.82755649474649,84.7804465201329,78.98936170212771,81.8926296633303,85.4368420402958,88.0925901223864,85.553714065909,87.8986789337108,89.7733889218465,92.1985815602837,89.46540880503142,94.26925448745571,97.6053566478458,101.82863113897601,106.711416773229,102.47471183251,100.41841004184099,97.5385798759675,101.6,100.925925925926,102.681802929613,102.594070695553,101.71867933062,102.04081632653099,106.691623771642,103.58948432760401,102.026554856744,99.2531972223048,97.0294928036893,102.5175108015,100.688357098333,101.887813444417,102.04402515723301,107.096138738782,101.91777805092899,107.825150552694,109.19715447154499,111.43183372868299,112.189512419503,113.614314695856,114.73684210526301,114.182692307692,118.74105865522199,121.57382847038001,125.170562718932,124.684496850581,126.84994563247601,128.712446351931,130.15225933202402,129.883426904381,129.058441558442,127.909534184044,127.93603198400801,126.713692144169,131.62058130332701,132.658881585034,137.887931034483,144.051691372102,138.071387779868,140.42256752557898,139.569206222577,144.548660557761,145.445395067942,144.119830313937,147.568892082797,148.085526115576,146.268224236567,145.762342135476,145.898026722044,148.75606461475098,149.519230769231,153.371929217869,152.453566548977
32807,Orlando,FL,Orlando,Orange,77.84935128820021,77.1324863883847,74.71627905548179,72.6147915647685,70.64761382936979,67.29293343353599,65.0118203309693,63.6574074074074,67.20238095238089,65.89454288671229,62.9180952488365,62.6288659793814,59.78456014362661,57.7922077922078,57.6979472140762,56.264066016504096,59.8422334949987,61.302681992337206,57.4614553109177,56.5062729498164,57.7858880778589,56.4971751412429,55.6641669648357,54.9363057324841,54.6028880866426,55.0229518458351,55.460750853242295,57.815223707147,62.6020685900925,65.3527421034363,59.8950524737631,62.8525382755842,65.52202119062581,65.3527421034363,65.3101043311252,66.4780763790665,65.2985074626866,66.2642045454545,69.59302325581389,69.82314782423529,69.36143259305601,70.4016913319239,75.9118541033435,76.5836183032079,78.2608695652174,81.9174757281553,70.5598291359256,76.9124735681317,79.54841802342371,77.33691997310021,81.6498674713615,77.910174152154,75.6095990808969,73.3251663863088,83.8636865292102,83.7988826815643,85.54202893311401,80.45387994143479,85.9477682486532,85.6679981350477,83.3333333333333,87.6543209876543,92.7580981585836,92.8866111467008,93.1158808130743,94.0042791093647,94.8711135868116,98.2158769293276,94.4457063422479,90.9090909090909,92.8072625698324,92.0241648753553,91.80929936524859,95.2717007762879,104.882970137207,100.91910513496401,102.354814709422,108.762371134021,117.179540871723,112.379903040987,111.77646491870001,114.222549742078,118.728162124389,119.250425894378,125.43008711062001,127.25630145641199,123.614663256607,131.578947368421,136.029411764706,137.770232710437,141.025641025641,140.81282051282102,140.59287776708402,141.330166270784,148.166953578281,147.108883221185,146.95077149155,147.41917186613702,148.237179487179,149.195784803106,159.662975445354,150.513347022587,153.399122807018
