Neighborhood,city,state,metro,county,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
Metro West,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,0.928677563150074,0.9388204402672221,0.94896331738437,0.9604519774011301,0.962099125364432,0.928677563150074,0.957595877141836,0.9712722298221609,0.943491422805247,0.968548447749119,0.944584382871537,0.907494145199063,0.956937799043062,0.9334183673469392,0.9648866865009141,0.979020979020979,0.9747545582047691,1.0064102564102602,1.05319191092908,1.00148367952522,1.01721843557287,1.01316574108931,1.0095011876484599,1.04011887072808,1.0139773314389,1.00715137067938,1.0247846189043701,1.03192336012628,1.04496253122398,1.0384007431790299,1.04011887072808,1.04011887072808,1.03857566765579,1.03668261562998,1.06240713224368,1.08695652173913,1.04011887072808,1.03268945022288,1.0299177871345402,1.04011887072808,1.08476286579213,1.07771654457853,1.09485368314834,1.09462246400919,1.07816711590296,1.0769173858446601,1.10656311223062,1.1053412462907999,1.1164274322169099,1.1032967032967,1.09485368314834,1.112507945978,1.11989459815547,1.1414900111708601,1.12197928653625,1.1298561136674,1.1431623931623898,1.1565017261219799,1.11042687690887,1.1199235461086101,1.10589241981647,1.12025316455696,1.1887072808321,1.1810883342936003,1.2355596886084699,1.1887072808321,1.23037974683544,1.25744934445769,1.2654879558968501,1.25435540069686,1.22837837837838,1.2620645411616398,1.25647537016825,1.21045918367347,1.2630014858841,1.32589285714286,1.3291139240506298,1.35450602029549,1.31996518575802,1.2630014858841,1.3384982121573301,1.3323983169705502,1.3599523241954699,1.3782051282051297,1.38382998200701,1.4159713945172803,1.3962965569002699,1.4126582278481001,1.4428178963893301,1.51515151515152
Florida Center North,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3125,1.50961538461538,1.35714285714286,1.38392857142857,1.42857142857143,1.40902679830748,1.4289010989011002,1.4289010989011002,1.4226190476190501,1.41282051282051,1.4166666666666698,1.38392857142857,1.4543897146577,1.60277670403299,1.5852177554438898,1.57914572864322,1.5668202764977,1.6494974874371897,1.6033376123234901,1.59907834101382
Airport North,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3381580397487198,1.47832585949178,1.5480336636778402,1.4360491782392701,1.52024539877301,1.53814713896458,1.5286999365458602,1.5499231950844898,1.55705521472393,1.6395209580838301,1.64713896457766,1.7016348773842,1.66253886881251,1.6275449101796398,1.6920245398773,1.6897248447889501,1.71165644171779,1.6306748466257701
Baldwin Park,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8344827586206898,1.7354085603112799,1.96367580123451,2.1468315301391,2.05849268841395,2.05394190871369,1.9886845039018997,1.98549625602137,1.98541114058355,1.9147398843930603,1.88718509916026,1.9307692307692301,1.83937823834197,1.81349206349206,1.82711569476275,1.84491978609626,1.77241379310345,1.74321503131524,1.84986772486772,1.8855820105820102,1.82486631016043
Central Business District,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6981132075471699,1.7147075733026698,1.6585838991270603,1.6634335596508203,1.6290478279947298,1.6241299303944299,1.62948593598448,1.5359661495063501,1.6216216216216202,1.66543665436654,1.74050632911392,1.69471003134796,1.69545454545455,1.6660516605166102,1.6528066528066498,1.6925246826516203,1.69247787610619,1.7323036132692098,1.74050632911392,1.7064796287100699,1.7456631104172098,1.72620790629575,1.75827495114114,1.76764237792094,1.7501233262861202,1.77001094005352,1.68673899939723,1.7405660377358503,1.7405660377358503,1.7052186177715098,1.67700987306065,1.67830378710504,1.6636690647482,1.68186683924327,1.81536555142503,1.84865281550547,1.8531691746466001,1.85096153846154,1.84102430296705,1.8456375838926202,1.88789472159453,1.8598130841121499,1.8521576294139999,1.85488521119764,1.85362517099863,1.90443213296399,1.85362517099863,1.81208053691275,1.65618853774776,1.81183736990565,1.71353279749336,1.85362517099863,1.80673499267936,1.80673499267936,1.80505415162455,1.8039492242595199,1.84759527692386,1.85362517099863,1.8561452513966499,1.8667642752562201,1.8667642752562201,1.8811379820427299,1.86090844659385,1.91456549657534,1.88325207437466,1.88557389905327,1.8887262079063,1.9062901155327299,1.93340762208972,1.9756097560975598,2.07419898819562,2.08049412444616
South Eola,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38946015424165,2.40231362467866,2.38946015424165,2.38946015424165,2.38946015424165,2.2317736670293797,2.23778920308483,2.26992287917738,2.2827763496144,2.2827763496144,2.2002820874471096,2.1086036671368102,2.109375
Alafaya,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41643059490085,1.4103225806451598,1.4064697609001398,1.44163150492264,1.51084337349398,1.51084337349398,1.55028137678314,1.54652988335423,1.4726356904410902,1.48865477972869,1.4851936218678798,1.48343822260364,1.53237203207648,1.57872405372405,1.6074074074074098,1.63223543916464,1.5925925925925901,1.6418653436822,1.69378531073446
