Neighborhood,city,state,metro,county,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
Metro West,Orlando,FL,Orlando,Orange,,,,,,,,,,675.0,695.0,700.0,695.0,695.0,699.5,799.0,775.0,775.0,799.0,799.0,775.0,750.0,750.0,750.0,800.0,800.0,817.5,830.0,800.0,800.0,725.0,762.5,845.0,795.0,776.0,795.0,825.0,800.0,800.0,795.0,795.0,750.0,750.0,775.0,750.0,800.0,800.0,795.0,797.5,800.0,800.0,800.0,800.5,800.0,800.0,800.0,800.0,807.5,850.0,850.0,845.0,850.0,885.5,875.0,892.5,900.0,900.0,850.0,850.0,855.0,896.0,928.5,904.5,927.0,900.0,972.0,949.5,933.0,925.0,943.0,909.0,973.0,950.0,975.0,995.0,975.0,1053.0,1087.0,1050.0,1022.0,1050.0,1118.0,1150.0,1152.5,1179.0
Airport North,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1034.0,1049.0,1115.5,1129.0,1169.0,1129.0,1139.0,1164.0,1149.0,1149.0,1219.0,1229.0,1268.0,1226.0
Baldwin Park,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440.0,1338.0,1457.0,1495.0,1494.5,1484.0,1410.0,1447.5,1445.0,1404.0,1402.5,1442.5,1437.0,1427.0,1427.5,1430.5,1481.0
Central Business District,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,1261.0,1325.0,1325.0,1280.0,1355.0,1297.0,1234.0,1210.0,1219.0,1250.0,1289.5,1254.5,1280.0,1200.0,1250.0,1200.0,1290.0,1300.0,1280.5,1325.0,1315.0,1269.0,1289.0,1395.0,1300.0,1300.0,1270.0,1300.0,1352.5,1285.5,1195.0,1169.0,1154.5,1327.0,1387.0,1350.0,1339.0,1327.0,1321.0,1349.0,1450.0,1329.0,1297.5,1297.5,1215.0,1339.0,1299.0,1350.0,1329.0,1403.0,1355.0,1327.0,1257.5,1300.0,1300.0,1289.0,1300.0,1350.0,1325.0,1324.0,1300.0,1382.0,1355.0,1400.0,1364.5,1395.0,1386.0,1400.0
Alafaya,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1065.0,1062.5,1075.0,1100.0,1090.0,1135.0,1180.0,1164.0,1184.0,1200.0,1153.5,1222.0,1196.0,1217.0,1199.5,1209.0
