Zip,city,state,metro,county,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
32822,Orlando,FL,Orlando,Orange,,,,,,,,800.0,800.0,795.0,795.0,795.0,795.0,800.0,795.0,800.0,850.0,895.0,928.0,950.0,888.5,866.0,862.5,875.0,850.0,853.0,850.0,868.0,901.5,864.0,895.5,941.5,900.0,895.0,850.0,850.0,850.0,850.0,857.0,875.0,850.0,850.0,850.0,875.0,900.0,900.0,900.0,895.0,895.0,900.0,900.0,895.0,875.0,895.0,898.0,920.0,913.5,912.0,906.0,936.0,987.0,975.0,989.0,1085.0,1097.5,1050.0,1072.0,1050.0,1100.0,1100.0,1100.0,1050.0,1063.0,1090.0,969.0,1032.5,1000.0,1095.0,1100.0,1100.0,1199.0,1204.5,1220.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1300.0,1299.0
32828,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1249.5,1301.5,1295.0,1325.0,1300.0,1323.0,1362.5,1350.0,1389.5,1395.5,1398.0,1408.0,1425.0,1487.0,1537.5
32825,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032.5,1200.0,1165.0,1250.0,1295.0,1295.0,1308.5,1297.0,1290.0,1200.0,1239.5,1243.0,1271.0,1265.5,1292.5,1340.5
32839,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250.0,1280.0,1250.0,1400.0,1200.0,1250.0,1200.0,1317.5,1295.0,1350.0,1285.0,1302.5,1195.0,1095.0,1150.0,1315.0,1225.0,1419.5
32837,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1318.0,1290.0,1345.5,1369.0,1382.0,1384.5,1405.0,1402.0,1400.0,1339.5,1364.0,1406.5,1469.0,1500.0,1497.5,1635.0
32835,Orlando,FL,Orlando,Orange,,,,,,875.0,875.0,950.0,895.0,895.0,850.0,950.0,900.0,900.0,912.5,900.0,900.0,950.0,950.0,990.0,950.0,939.0,1054.0,995.0,995.0,960.0,950.0,960.0,975.0,931.0,950.0,978.0,999.5,1015.0,1015.0,1015.0,995.0,957.5,950.0,950.0,950.0,995.0,1000.0,1010.0,997.5,1024.5,1025.0,1050.0,1042.5,1077.0,1050.0,1061.0,1075.0,1050.0,1061.0,1072.0,1100.0,1095.0,1150.0,1166.5,1160.0,1100.0,1154.5,1150.0,1109.0,1140.0,1203.0,1200.0,1188.0,1211.5,1200.0,1250.0,1256.0,1150.0,1250.0,1150.0,1250.0,1226.5,1267.0,1275.0,1275.0,1321.0,1350.0,1360.0,1319.0,1292.0,1294.0,1334.0,1379.5,1402.5,1429.0
32811,Orlando,FL,Orlando,Orange,,,,,,,,,,,800.0,850.0,837.5,837.5,850.0,850.0,865.0,850.0,850.0,850.0,857.5,895.0,900.0,904.5,904.5,900.0,850.0,859.5,850.0,850.0,850.0,875.0,907.5,947.0,949.0,900.0,925.0,899.5,900.0,925.0,925.0,900.0,900.0,900.0,925.0,950.0,947.5,950.0,975.0,970.0,950.0,955.0,950.0,950.0,950.0,950.0,982.5,950.0,950.0,995.0,980.0,1027.0,1027.5,1053.0,1059.0,1074.0,1069.0,1068.0,1062.0,1095.0,1055.0,1100.0,1130.0,1100.0,1119.0,1072.0,1121.5,1100.0,1140.0,1197.0,1150.0,1170.0,1200.0,1200.0,1200.0,1250.0,1200.0,1250.0,1269.0,1250.0,1260.0
32812,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068.0,1100.0,1075.0,1097.0,1125.0,1150.0,1135.0,1143.0,1179.0,1150.0,1200.5,1131.5,1146.5,1150.0,1224.0,1212.0,1154.0,1175.0,1236.0
32803,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1070.0,1137.5,995.0,1000.0,1000.0,1025.0,1095.0,1150.0,1275.0,1295.0,1197.5,1145.0,1100.0,1200.0,1200.0,1275.0,1225.0,1095.0,1195.0,1181.0,1200.0,1200.0,1195.0,1295.0,1265.0,1295.0,1252.0,1292.5,1272.5,1264.0,1363.0,1335.0,1256.0,1295.0,1397.0,1522.0,1550.0,1397.0,1427.5,1495.0,1455.0,1550.0,1477.5,1600.0,1575.0,1650.0,1655.0,1634.0,1599.0,1619.0,1589.0,1546.5,1450.0,1600.0
32832,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1335.0,1394.5,1353.0,1320.5,1319.0,1353.0,1395.0,1444.5,1466.5,1458.0,1458.0,1479.0,1490.0,1495.0,1480.0,1500.0
