Neighborhood,city,state,metro,county,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
Vance Jackson,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11472868217054,1.14182964700694,1.14768683274021,1.150232305259,1.1160321292256399,1.17293233082707,1.14768683274021,1.13798008534851,1.11194029850746,1.11194029850746,1.10241820768137,1.13697627331109,1.1137162954278998,1.15658362989324,1.11217235410485,1.09822351421189,1.12458673766649,1.1335072211756698,1.18055555555556,1.1922480620155,1.1708227877915802,1.13432835820896,1.13363816754378,1.2157306763285,1.21932399879554,1.2099644128113898,1.2099644128113898,1.25721113802073,1.27105666156202,1.2306763285024198,1.2331288343558302,1.21651234567901,1.19374247894103,1.23067484662577,1.2552389167545202,1.1721402035658601
Stone Oak,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39330589517008,1.3757575757575802,1.3757575757575802,1.39285714285714,1.3515151515151498,1.3563343994314099,1.3515151515151498,1.3253731343283601,1.3575757575757599,1.31491344873502,1.3049267643142501,1.3382157123834901,1.32655350697493,1.30658193116249,1.3818181818181798,1.40969851143749,1.41544607190413,1.44161676646707,1.41172947048646,1.43808255659121,1.4,1.40545938748336,1.40606060606061,1.30134932533733,1.35223880597015,1.34659135146142,1.3727272727272701,1.3782221472045402,1.3757575757575802,1.41370227003675,1.5483870967741902,1.5505913272010499
Friedrich Wilderness Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40361445783133,1.46310160427807,1.52077151335312,1.52108912059093,1.51787136945508,1.5358416093710199,1.55016910935738,1.55016910935738,1.54986498127844,1.52143845089903,1.52143845089903,1.5207100591716,1.5207100591716,1.51770797076227,1.5147058823529398,1.4872804195235199,1.4983974358974401,1.5422459893048102,1.55882352941176,1.55882352941176,1.55882352941176,1.54987212276215,1.55882352941176,1.5957446808510602,1.5907134391350901,1.5791139810290802,1.5414937759336103,1.5470588235294098,1.6469273743016801,1.6469273743016801,1.64759725400458,1.6472623141531297,1.5992779783393503,1.5691176470588202
Forest Crest,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5897858056266,1.5855094898371203,1.6105499438832802,1.6155988857938701,1.67590027700831,1.6625,1.7190198597106001,1.69767305043985,1.6967305524238998,1.71910107930401,1.7189314750290399,1.87146892655367,1.87853107344633,1.87853107344633,1.87853107344633,1.84139784946237,1.84139784946237,1.7558552558552598,1.74460088522589,1.7704517704517702,1.77163120567376,1.68371751705085,1.7157738095238102,1.78671621547611,1.81929181929182,1.8489289740699,1.8575624082231998,1.81350954478708,1.81612216898721,1.81873479318735,1.81873479318735,1.81873479318735,1.81873479318735,1.8490304709141299
