Neighborhood,city,state,metro,county,rent_1br_monthly,rent_1br_sqft,buy_home,buy_home_sqft,rent_2br_monthly,rent_2br_sqft,rent_sf_monthly,rent_sf_sqft,price_rent_ratio,pct_price_reduction_homes,median_pct_price_reduction_homes,pct_home_increasing_in_values,pct_home_decreasing_in_values
Tierra Linda,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,16.88,,,96.88,2.92
Culebra Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,20.27,,,94.1,5.7
Riverside South,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,18.74,,,97.1,2.28
Regency Meadow,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,5.0,,,,
Woodthorn,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,20.35,,,,
Community Workers Council,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,21.25,,,99.01,0.84
Forest at Stone Oak,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,2.43,,,,
Third World,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,17.02,,,84.08,15.58
Donaldson Terrace,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,11.77,,,76.15,21.47
Timber Ridge,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,6.59,,,10.92,88.12
Stonegate Hills at Westover Hill,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,7.27,,,,
Stone Mountain-Stone Oak,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,4.29,,,,
Summit-Stone Oak,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,4.41,,,,
Woodlawn Lake,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,14.55,,,88.13,10.46
North Central Thousand Oaks,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,10.67,,,45.21,53.17
Mission San Jose,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,11.99,,,88.34,9.65
Hot Wells,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,13.62,,,95.91,3.27
Woodstone,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,12.88,,,73.16,24.81
Laddie Place and North Wilson,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,18.88,,,96.01,3.87
Government Hill Alliance,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,15.26,,,81.74,17.24
Roseheart,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,9.49,,,,
Summit at Bulverde Creek,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,13.79,,,70.52,28.66
Cable-Westwood,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,27.3,,,98.47,1.53
Sierra Springs,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,16.1,,,84.93,13.57
Maverick Creek,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,14.62,,,,
The Hills of Park North,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,18.71,,,93.92,5.57
Adams Hill,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,11.64,,,81.57,15.53
Shady Oaks,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,16.05,,,80.03,18.03
Sunny Slope,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,16.95,,,93.14,6.56
Meadow Village,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,23.88,,,98.24,1.27
Roosevelt Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,13.14,,,81.94,17.16
Greater Gardendale,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,12.84,,,97.53,2.16
Northwest Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,7.51,,,,
Spring Vistas - Sierra Springs,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,11.51,,,,
High Country,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,8.35,,,30.98,66.91
Camelot 1,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,16.72,,,98.43,1.26
Pipers Meadow,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,22.62,,,85.44,13.56
Las Lomas-Stone Oak,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,4.11,,,,
Jefferson,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,12.16,,,71.32,26.56
Community Workers Council-Los Jardines,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,16.86,,,96.22,3.56
Owners Association of Lago Vista-South Southwest,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,22.42,,,,
Southpark,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,15.61,,,,
Parkwood Maintenance,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,7.5,,,8.19,91.04
Stone Valley,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,2.91,,,,
Memorial Heights,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,16.4,,,96.06,3.43
College Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,12.34,,,,
Sunshine Estates,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,16.45,,,78.71,20.83
Lockhill Estates,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,215.28,,,,
Denver Heights,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,14.8,,,95.06,4.64
Village in the Woods,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,15.61,,,,
Longs Creek,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,11.34,,,58.43,39.22
North San Antonio Hills,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,7.69,,,,
Northern Hills,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,12.99,,,71.76,27.01
Wilshire,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,16.39,,,91.96,7.57
United Westwood,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,21.18,,,99.21,0.79
Ingram Hills,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,18.61,,,74.01,25.52
Braun Station West,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,5.69,,,1.97,97.78
Los Jardines,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,15.37,,,96.93,2.83
Hart Ranch Unit One,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,4.06,,,,
Downtown,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,9.39,,,,
Pecan Valley Heights-Pecan Valley,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,6.08,,,,
Wilshire Village,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,24.24,,,83.07,16.77
Spring Creek Neighborhood Alliance,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,10.42,,,51.0,46.47
Regency Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,5.58,,,,
Gillette Area,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,20.91,,,96.95,3.05
Ridgestone No. 9,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,5.11,,,,
The Champions Estates-Stone Oak,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,2.68,,,,
184 Association,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,13.71,,,,
Redland Ridge,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,10.73,,,,
Dellcrest Area,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,16.58,,,96.81,2.91
Spyglass Hill Condominium,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,19.04,,,,
Park Village,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,15.69,,,96.59,2.52
Alta Vista,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,10.82,,,57.73,40.76
Loma Vista,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,16.14,,,96.1,3.75
Oak Grove Estates,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,18.16,,,,
Springvale,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,24.77,,,99.52,0.39
Quail Creek,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,5.63,,,,
The Crossing at Quail Creek,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,6.16,,,,
Citizens on Alert,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,20.66,,,98.08,1.81
Edison,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,16.35,,,99.03,0.73
Hidden Meadow,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,7.16,,,23.91,73.91
Royal Ridge,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,14.38,,,81.04,17.94
Loma Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,21.03,,,98.75,1.12
Oakland Heights,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,7.3,,,,
Nevada Street,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,13.67,,,91.87,7.44
Oakwood,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,2.58,,,,
Skyline Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,97.08,,,,
Lavaca,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,9.21,,,44.15,54.72
Highland Farms,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,21.65,,,96.13,3.87
Lakeside,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,9.63,,,54.76,42.54
Monterrey Village HOA,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,13.89,,,,
Whisper Hollow-North Central Thousand Oaks,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,6.22,,,,
Sonoma Ranch,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,8.68,,,30.8,68.53
The Terraces at Encino Creek Owners Association,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,7.6,,,,
Encino Rio HOA,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,11.05,,,,
San Antonio Creekside,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,5.75,,,23.12,76.6
Northhampton-Alamo Farmsteads-Babcock Road,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,15.37,,,,
Steubing Ranch,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,15.46,,,75.75,22.71
Oak Hills,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,12.57,,,48.39,50.65
El Dorado,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,15.98,,,95.13,4.34
Country View Village-Alamo Farmsteads-Babcock Road,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,13.62,,,,
Oak Creek,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,10.98,,,47.95,48.1
Feather Ridge,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,3.99,,,,
Dreamhill Estates Neighborhood,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,4.5,,,,
Sun Gate,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,16.93,,,99.09,0.76
Mockingbird Hill,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,16.68,,,,
Legend Hills-Crownridge of Texas,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,2.85,,,,
Eden,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,8.32,,,16.11,81.67
Northmoor,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,19.59,,,99.25,0.75
Churchill Estates,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,7.27,,,21.22,78.1
Saddlebrook Farms,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,17.57,,,,
Stonefield,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,12.23,,,58.81,38.39
North Castle Hills,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,7.51,,,,
Devonshire Condominiums,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,18.56,,,,
Range Rider,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,7.35,,,,
Redland Springs,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,7.47,,,,
Walker Ranch,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,13.4,,,,
East Terrell Hills,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,11.89,,,74.94,22.74
Blanco Woods,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,3.17,,,,
Rolling Ridge Village-Rolling Ridge Club,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,22.04,,,,
Oak Hollow Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,8.77,,,,
Lorrence Creek,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,14.01,,,78.54,19.3
Hunters Chase II,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,8.97,,,35.35,62.42
Hills and Dales,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,11.04,,,40.88,57.1
Woodridge,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,11.06,,,51.02,47.54
Arena District,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,16.79,,,,
Promontory Pointe-Heights,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,7.96,,,25.43,73.9
Hillcrest,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,68.5,,,,
Eastwood Village,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,18.63,,,96.23,3.27
East Village,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,18.14,,,98.91,0.87
Fieldstone,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,5.51,,,,
Creekview Estates,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,15.93,,,,
Dellcrest Forrest,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,27.87,,,,
Artesia Community Guild,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,24.25,,,,
Southeast Citizens Committee-Highland Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,13.52,,,,
Tezel Heights,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,15.61,,,,
Oxbow,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,16.81,,,95.94,3.97
Deerfield,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,2.84,,,0.42,99.58
Vista Del Norte,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,4.94,,,,
Gardens at Brookhollow,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,13.24,,,,
Woodmont,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,23.62,,,,
Encino Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,3.54,,,3.16,96.36
Tanglewood,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,13.99,,,82.6,16.21
Oak Meadow,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,4.43,,,0.45,99.55
Huntington Place,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,7.86,,,17.53,80.38
Preston Hollow,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,5.84,,,,
Valley Hi North,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,16.8,,,,
Stablewood-Valley Hi North,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,20.34,,,,
Valencia,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,12.56,,,72.92,24.82
Misty Oaks,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,7.76,,,16.78,82.09
Wildwood West,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,14.44,,,,
Guilbeau Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,12.4,,,57.98,40.99
Bluffview at Camino Real,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,4.24,,,1.12,98.88
Olmos Park Terrace,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,15.88,,,,
Arbor at Sonoma Ranch,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,11.94,,,54.94,43.09
Inspiration Hills,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,65.76,,,,
Jefferson-Monticello Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,8.67,,,,
Village North One,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,19.35,,,,
Hunters Creek,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,7.8,,,19.47,78.88
Woodbridge at Monte Viejo,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,14.05,,,77.33,21.28
Woods of Shavano,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,5.62,,,2.69,96.83
Elm Creek,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,4.72,,,5.28,94.37
Overlook of Carriage Hills,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,14.07,,,,
North Shearer Hills,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,12.58,,,,
General Krueger,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,23.76,,,88.15,10.9
Brady Gardens,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,13.99,,,97.88,1.93
Canyon View,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,4.69,,,,
Gold Canyon,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,4.58,,,,
Redland Estates,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,8.07,,,,
Northchase,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,4.35,,,,
Wheatley Heights,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,26.19,,,,
Oak Haven Heights,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,16.2,,,,
Westwood Village I,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,29.77,,,,
Inwood Homeowners,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,2.19,,,,
Castle Hills Forest,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,5.85,,,10.14,89.12
Whispering Oaks,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,13.24,,,70.83,27.28
Coliseum-Willow Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,22.29,,,,
Rolling Ridge Club,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,17.8,,,,
King William,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,8.41,,,17.2,82.24
Eastgate,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,18.98,,,,
Braun Station East,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,5.08,,,0.34,99.33
El Chaparral Fertile Valley,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,17.14,,,,
Crown Meadows,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,7.0,,,,
Villas of Babcock (Summerwind),San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,24.07,,,,
Oakmont Downs,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,10.48,,,,
