Zip,city,state,metro,county,rent_1br_monthly,rent_1br_sqft,buy_home,buy_home_sqft,rent_2br_monthly,rent_2br_sqft,rent_sf_monthly,rent_sf_sqft,price_rent_ratio,pct_price_reduction_homes,median_pct_price_reduction_homes,pct_home_increasing_in_values,pct_home_decreasing_in_values,CBSATitle,MarketHealthIndex,SellForGain,PrevForeclosed,ForeclosureRatio,ZHVI,MoM,YoY,ForecastYoYPctChange,StockOfREOs,NegativeEquity,Delinquency,DaysOnMarket_x,CBSA Title,SizeRankCity,SizeRankMetro,PctPriceCut,DaysOnMarket_y,BuyerSellerIndex,BuyerSellerIndexMetro
78212,San Antonio,TX,San Antonio-New Braunfels,Bexar County,850.0,1.1745406824147,375000.0,224.68544038346297,1150.0,1.09375,1600.0,1.26488095238095,11.93,14.857142857142902,2.94290759270159,57.65,41.63,,,,,,,,,,,,,,"San Antonio-New Braunfels, TX",5493.0,26.0,12.1019108280255,83.0,5.4545454545454515,6.91034482758621
78212,San Antonio,TX,"San Antonio, TX, TX",,,,,,,,,,,,,,,"San Antonio, TX",9.86440222863664,,0.0,0.0,240800.0,0.964360587002096,17.0636849781235,0.0630647840531562,,,,74.0,"San Antonio-New Braunfels, TX",5493.0,26.0,12.1019108280255,83.0,5.4545454545454515,6.91034482758621
78215,San Antonio,TX,San Antonio-New Braunfels,Bexar County,1590.0,2.1261261261261297,,,2217.0,2.07009345794393,,,10.99,,,,,,,,,,,,,,,,,,,,,,,,
