Neighborhood,city,state,metro,county,rent_1br_sqft,rent_1br_monthly,rent_2br_sqft,rent_2br_monthly,rent_sf_sqft,rent_sf_monthly,buy_home,buy_home_sqft,price_rent_ratio
Capitol Hill,Seattle,WA,Seattle,King,3.01477104874446,1900.0,2.82864176885916,2750.0,,,,622.07336523126,22.32
West End,Tacoma,WA,Seattle,Pierce,1.64688427299703,1124.5,1.46509341199607,1339.0,,,379950.0,280.733944954128,16.02
University District,Seattle,WA,Seattle,King,2.62826277692476,1475.0,2.62449528936743,1950.0,,,,,24.89
Wallingford,Seattle,WA,Seattle,King,3.00460122699387,1885.0,,2507.0,,,899900.0,567.18487394958,25.43
Downtown,Bellevue,WA,Seattle,King,2.85086342229199,2130.0,2.62230919765166,,,,,,23.91
New Tacoma,Tacoma,WA,Seattle,Pierce,2.18832891246684,,,,,,,,14.78
Fremont,Seattle,WA,Seattle,King,2.9779411764705896,1851.0,,,,,,,23.22
First Hill,Seattle,WA,Seattle,King,3.0095917095215805,1877.5,2.82583621683968,2900.0,,,,,20.27
Belltown,Seattle,WA,Seattle,King,3.18926680116,2084.0,3.0593849416755003,2876.5,,,,,
Ballard,Seattle,WA,Seattle,King,2.82034982935154,1750.0,2.5303113957122405,2450.0,,,,,22.42
South Juanita,Kirkland,WA,Seattle,King,2.58146487294469,1812.0,2.09240024681201,2070.5,,,,,
Lower Queen Anne,Seattle,WA,Seattle,King,2.51582752506725,1585.0,,,,,,,22.03
Crossroads,Bellevue,WA,Seattle,King,2.40205479452055,1696.0,2.01800947867299,2027.0,,,,,24.46
Uptown,Seattle,WA,Seattle,King,3.32432432432432,,,,,,,,21.02
Westlake,Seattle,WA,Seattle,King,3.43256379100851,2225.0,2.9116638078902204,3260.0,,,,,21.4
Downtown,Redmond,WA,Seattle,King,2.5984962406015,1888.0,,,,,,,22.94
Denny Triangle,Seattle,WA,Seattle,King,3.89063812881306,2887.5,3.62424242424242,,,,,,
South Lake Union,Seattle,WA,Seattle,King,3.36806212934488,2060.0,2.90988372093023,2984.0,,,,,
Admiral,Seattle,WA,Seattle,King,,1550.0,,,,,799800.0,476.46383467279014,25.28
North Queen Anne,Seattle,WA,Seattle,King,,1695.0,,,,,,,26.83
Green Lake,Seattle,WA,Seattle,King,,1755.0,,2400.0,,,,,25.45
South Tacoma,Tacoma,WA,Seattle,Pierce,,,1.20693581780538,1225.0,,,239950.0,180.66491750675,13.47
Greenwood,Seattle,WA,Seattle,King,,,1.99375,1772.5,,,675000.0,510.593286986064,23.33
Twin Creeks,Everett,WA,Seattle,Snohomish,,,1.4945652173913,1425.0,,,,,17.07
Overlake,Redmond,WA,Seattle,King,,,2.05416666666667,1994.0,,,,,26.46
SE Redmond,Redmond,WA,Seattle,King,,,2.10146561443067,2160.0,,,,,25.4
Moss Bay,Kirkland,WA,Seattle,King,,,2.5363321799308,2500.0,,,,,23.63
Issaquah Highlands,Issaquah,WA,Seattle,King,,,1.8781725888324896,2215.0,,,,372.92817679558,
North Juanita,Kirkland,WA,Seattle,King,,,,1742.0,,,550000.0,381.214917127072,
South End,Tacoma,WA,Seattle,Pierce,,,,,1.14968440036069,1422.5,235000.0,195.3125,13.7
Central,Tacoma,WA,Seattle,Pierce,,,,,,1705.0,254975.0,200.17931858936,14.32
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,,,,,,,244950.0,192.847124824684,13.72
