Zip,city,state,metro,county,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
98059,Renton,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398888.0,394950.0,398888.0,399725.0,398944.0,419000.0,449950.0,454950.0,474950.0,469925.0,486975.0,489950.0,477450.0,479425.0,459950.0,469950.0,475000.0,472450.0,477444.0,477475.0,520000.0,521950.0,499997.5,523450.0,499925.0,514975.0,521950.0,524950.0,519900.0,499000.0,499990.0,445000.0,499999.0,465000.0,460000.0,499950.0,450000.0,529900.0,522975.0,529925.0,569950.0,549875.0,549975.0,550000.0,527450.0,499000.0,524950.0,519950.0,539000.0,499000.0,459000.0,449950.0,455000.0,459475.0,495000.0,475000.0,544925.0,549970.0,549950.0,597700.0,590000.0,598825.0,599950.0,579875.0,599000.0,594000.0,600000.0,614950.0,617450.0,639950.0,695750.0
98031,East Hill-Meridian,WA,Seattle,King,249950.0,249950.0,250000.0,249900.0,245000.0,245000.0,241000.0,239900.0,235000.0,216726.5,206390.0,199000.0,189700.0,179900.0,189000.0,190000.0,184950.0,189500.0,183600.0,192450.0,198000.0,200000.0,199950.0,199950.0,189000.0,205000.0,225000.0,232500.0,229925.0,229950.0,227450.0,229975.0,234500.0,219950.0,249950.0,249000.0,238000.0,237000.0,249900.0,239000.0,249900.0,249900.0,253900.0,259000.0,250000.0,250000.0,239950.0,233972.5,219900.0,230000.0,250000.0,265000.0,264975.0,275000.0,271950.0,284950.0,284475.0,299925.0,286950.0,250000.0,279000.0,299950.0,312450.0,323950.0,309950.0,299975.0,319950.0,325000.0,325000.0,339925.0,342350.0,325000.0,339925.0,339700.0,340000.0,329500.0,339950.0,329000.0,335000.0,349900.0,350000.0,339950.0,339950.0,339925.0,339900.0,329900.0,350000.0,359450.0,375000.0,389000.0,389950.0,389725.0,407500.0,425000.0,425000.0,447500.0,429975.0,469950.0,449950.0
98203,Everett,WA,Seattle,Snohomish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250000.0,249950.0,232475.0,225000.0,235000.0,229925.0,228450.0,261225.0,259950.0,259950.0,269975.0,269950.0,256950.0,229950.0,257000.0,274925.0,274950.0,274999.0,279000.0,279950.0,298468.5,309950.0,319900.0,309950.0,295000.0,279950.0,279950.0,282467.5,296725.0,300000.0,319950.0,320000.0,315000.0,324999.5,334500.0,339950.0,329950.0,329950.0,329950.0,339000.0,352425.0,364950.0,367450.0,367450.0,367450.0,364950.0,369975.0,379950.0,379950.0,384950.0,384950.0,384950.0,385000.0
98002,Auburn,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900.0,176000.0,173942.5,166500.0,169950.0,183800.0,189000.0,199950.0,210000.0,197000.0,198500.0,185000.0,184324.5,160000.0,184899.0,199000.0,200000.0,200000.0,205000.0,205000.0,216225.0,212495.0,218000.0,224975.0,217495.0,219500.0,229950.0,234925.0,239950.0,264975.0,249950.0,259900.0,264975.0,264975.0,250000.0,255000.0,253000.0,255000.0,251500.0,264950.0,275000.0,282450.0,284975.0,284472.5,289900.0,289950.0,290000.0,289995.0,285750.0,282470.0,277475.0,279950.0,285000.0
98116,Seattle,WA,Seattle,King,498500.0,485000.0,474950.0,469250.0,469000.0,459969.0,469000.0,450000.0,449975.0,429475.0,429475.0,407450.0,400000.0,399000.0,399925.0,399950.0,414975.0,419975.0,414975.0,419950.0,422450.0,399990.0,394500.0,389450.0,394500.0,399000.0,399000.0,435000.0,430000.0,425000.0,439000.0,425000.0,440000.0,449000.0,475000.0,470000.0,452500.0,470000.0,509950.0,499950.0,518000.0,519000.0,519000.0,525000.0,499925.0,499950.0,504499.5,499500.0,509500.0,509500.0,477000.0,520000.0,527500.0,550000.0,569950.0,569000.0,550000.0,527475.0,549950.0,549000.0,504750.0,549950.0,565000.0,549000.0,550000.0,584988.0,625000.0,625000.0,650000.0,607500.0,659900.0,649475.0,649000.0,646495.0,649000.0,649316.0,649250.0,649950.0,649950.0,649970.0,649990.0,649950.0,650000.0,695000.0,659990.0,640000.0,650000.0,669970.0,685000.0,699000.0,692500.0,692000.0,699900.0,749975.0,749950.0,749950.0,750000.0,775000.0,799000.0
98144,Seattle,WA,Seattle,King,375000.0,374999.5,359000.0,360000.0,333975.0,359950.0,351900.0,349500.0,347450.0,330000.0,319970.0,319950.0,299925.0,319000.0,299950.0,299950.0,306000.0,304995.0,304995.0,328250.0,339000.0,349000.0,341975.0,299950.0,299900.0,289990.0,300000.0,317500.0,355000.0,359475.0,369475.0,349500.0,359950.0,349000.0,396500.0,365700.0,389500.0,387250.0,399950.0,389975.0,425000.0,432475.0,425000.0,419900.0,424950.0,409000.0,425000.0,404500.0,419000.0,439500.0,425000.0,425000.0,415000.0,450000.0,465000.0,437775.0,422443.5,424944.0,439999.0,429900.0,429700.0,429900.0,475000.0,487225.0,499900.0,529950.0,499950.0,500000.0,554900.0,549950.0,529950.0,529475.0,539950.0,559975.0,549950.0,577000.0,582000.0,599950.0,595000.0,579500.0,579000.0,589950.0,599950.0,599950.0,619000.0,619900.0,625000.0,635000.0,669900.0,699900.0,699900.0,694450.0,698500.0,699950.0,699950.0,719975.0,700000.0,720000.0,735950.0
98201,Everett,WA,Seattle,Snohomish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199975.0,195000.0,184995.0,186091.0,192450.0,219950.0,229800.0,238000.0,239975.0,239400.0,238000.0,228950.0,198500.0,187580.0,199500.0,205000.0,209700.0,219950.0,229950.0,245000.0,249950.0,249997.5,249925.0,249900.0,249900.0,249000.0,249400.5,249923.0,249950.0,249950.0,259000.0,264950.0,264950.0,264725.0,265000.0,269500.0,269500.0,269500.0,267950.0,269950.0,275000.0,286912.0,289450.0,282475.0,294950.0,297450.0,294500.0,300000.0,304500.0,317500.0,292475.0,295450.0,314997.5
98444,Parkland,WA,Seattle,Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149500.0,149950.0,159000.0,159950.0,159475.0,163750.0,165000.0,169500.0,174000.0,166250.0,159950.0,157000.0,159900.0,169950.0,179950.0,196500.0,196250.0,199990.0,199995.0,199950.0,194475.0,185000.0,179950.0,185000.0,199000.0,209200.0,209950.0,218950.0,219925.0,220000.0,225000.0,225000.0,229450.0,229950.0,229950.0,229950.0,229975.0,229950.0
98499,Lakewood,WA,Seattle,Pierce,,,,,,,,,,,,,,,,,,,,,,,,,164975.0,171950.0,170000.0,179950.0,175000.0,174900.0,172500.0,165000.0,159950.0,155000.0,179000.0,181300.0,199900.0,199844.5,219950.0,212000.0,226575.0,225600.0,215000.0,218500.0,227975.0,220000.0,211000.0,213500.0,197900.0,198945.0,212000.0,185900.0,211900.0,212000.0,217000.0,225000.0,221975.0,215500.0,199000.0,175000.0,190000.0,207500.0,209500.0,199950.0,199950.0,199973.0,199973.0,210000.0,210000.0,199950.0,199996.0,199900.0,210000.0,224950.0,224950.0,239900.0,247500.0,250000.0,247900.0,239950.0,247250.0,239950.0,244900.0,235500.0,242475.0,249900.0,259000.0,274700.0,262250.0,260975.0,269950.0,269925.0,272200.0,277000.0,275000.0,274250.0,272000.0,270975.0,284950.0
98168,Burien,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214950.0,214950.0,208850.0,217000.0,219475.0,219975.0,219000.0,225000.0,219000.0,225000.0,229000.0,224900.0,214900.0,199900.0,229925.0,240750.0,250000.0,257450.0,270000.0,279725.0,265160.0,265000.0,263000.0,265000.0,275000.0,257500.0,252475.0,249950.0,259950.0,250000.0,261425.0,279950.0,288000.0,300000.0,309900.0,319950.0,299999.5,299875.0,279972.5,300000.0,324950.0,329475.0,330000.0,342000.0,349250.0,350000.0,349950.0,351500.0,359900.0,369500.0,398800.0,399925.0,425000.0
