Zip,city,state,metro,county,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
98029,Issaquah,WA,Seattle,King,,,,,,,,,,,,,,,,,,,1455.0,1450.0,1430.0,1436.5,1533.5,1525.0,1509.0,1500.0,1455.0,1480.0,1425.0,1450.0,1560.0,1620.0,1590.0,1577.5,1650.0,1640.0,1627.0,1640.0,1647.5,1615.0,1552.0,1595.0,1597.5,1605.0,1850.0,1865.0,1840.0,1807.0,1736.5,1670.0,1723.0,1700.0,1702.0,1830.0,1820.0,1830.0,1858.0,1879.5,1907.5,1955.0,1900.0,1934.5,1960.0,1952.5,1953.5,1945.0,1990.0,2090.0,2100.0,2102.5,2258.0,2085.0,2344.0,2040.0,1960.0,1912.5,1990.0,2125.0,2200.0,2200.0,2200.0,2200.5,2200.0,2150.0,2089.0,2050.0,1924.5,1864.0,1935.0,2081.0,2158.0
98007,Bellevue,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1825.0,1839.0,1883.5,1972.0,1980.5,1975.0,2000.0,1993.5,1987.0,1894.5,1900.0,1852.5,1910.0,1925.5,1999.0
98011,Bothell,WA,Seattle,Snohomish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850.0,1761.0,1866.0,1838.5,1850.0,1865.0,1920.0,1846.0,1865.0,1911.0,1997.5,1900.0,1971.0,1995.0,1969.0
98040,Mercer Island,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2279.0,2469.0,2548.0,2717.0,2500.0,2435.5,2400.0,2468.5,2445.0,2356.0,2454.0,2515.5,2522.5,2486.0,2615.0
98409,Tacoma,WA,Seattle,Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005.0,1000.0,1000.0,1095.0,995.0,1075.0,1000.0,1095.0,1110.0,1100.0,1132.0,1195.0,1195.0,1270.0,1250.0,1170.0,1195.0,1275.0,1245.0,1225.0
98126,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2317.5,2480.0,2390.0,2100.0,2200.0,2200.0,2389.5,2197.5,1950.0,1950.0,1897.5,1900.0,1997.5,1900.0
98199,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100.0,2000.0,2195.0,2395.0,2595.0,2397.5,2200.0,2150.0,2145.0,2050.0,2195.0,2195.0
98055,Renton,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1516.0,1447.5,1480.0,1500.0,1515.0,1520.0,1350.0,1520.0,1467.5,1480.0,1542.0,1600.0,1612.5,1587.0,1562.5,1602.5,1560.0,1590.0,1605.0,1505.0,1535.0,1565.0,1562.5,1695.0,1662.5,1657.0,1648.5,1630.0,1620.0,1615.0,1572.0,1525.0,1525.0,1550.0,1620.0
98275,Mukilteo,WA,Seattle,Snohomish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1545.0,1595.0,1654.5,1693.0,1615.5,1851.0,1626.0,1623.0,1650.0,1674.0,1672.0,1594.0,1545.0,1583.5,1627.0
98005,Bellevue,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964.0,1914.0,1908.0,1944.0,2064.0,2059.0,2077.0,2000.0,1999.0,1951.0,1904.0,1912.0,1929.5,1917.0,1918.5,1900.0,1945.0
