Neighborhood,city,state,metro,county,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
Columbia City,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489950.0,498000.0,499450.0,489000.0,495000.0,567000.0,572000.0,577475.0,579950.0,559000.0,559000.0,515000.0,554500.0,602000.0,619000.0,600000.0,600000.0,529990.0,614950.0,635400.0,622800.0,689000.0,699725.0,694500.0,689950.0
Cougar Mountain,Bellevue,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1293999.5,1299999.0,1294949.5,1381500.0,1286500.0,1286500.0,1299988.0,1350000.0,1498000.0,1536500.0,1438400.0,1438400.0,1388800.0
Pioneer Square,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600000.0,631900.0,635900.0,630900.0,639900.0,635900.0,640900.0,660450.0,660450.0,660450.0,681900.0,681900.0,717000.0
Oakbrook,Lakewood,WA,Seattle,Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234750.0,232250.0,257500.0,259900.0,259900.0,244950.0,249975.0,224950.0,224950.0,234975.0,259900.0,255000.0,259950.0,269950.0,279950.0,294500.0,279500.0,276500.0,271225.0,275000.0,260000.0,269475.0,258974.5,249950.0,244975.0,259900.0,274950.0,287950.0,290000.0,295000.0,259999.0,249975.0,249975.0,268000.0,247500.0,245000.0,256500.0,245000.0,254500.0,288475.0,288475.0,298250.0,279950.0,315950.0,318425.0,320000.0,325000.0,325000.0,320000.0
Mirror Lake,Federal Way,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269950.0,245000.0,248475.0,257000.0,262450.0,298975.0,299950.0,279950.0,289000.0,309950.0,317475.0,319950.0,309975.0,310000.0,297750.0,299000.0,289500.0
Hilltop,Arlington,WA,Seattle,Snohomish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260225.0,273000.0,275000.0,271000.0,274950.0,285000.0,285000.0,279900.0,275000.0,269225.0,256750.0,273000.0,267143.0,269950.0,287725.0,289950.0,299950.0,304500.0,299950.0,299950.0,304950.0,309950.0,314900.0,309950.0,304995.0,318000.0,316475.0,322475.0,316700.0,329950.0,334000.0,329000.0,319950.0,315000.0,314945.0,314995.0,347392.5,347392.5,349900.0,374900.0,364950.0,355000.0,357475.0,365000.0,379500.0,382500.0,395000.0,397475.0,380000.0
Twin Lakes,Federal Way,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249900.0,262450.0,264900.0,279450.0,279925.0,284900.0,289990.0,289900.0,284950.0,279000.0,250000.0,259900.0,264900.0,272950.0,279925.0,294900.0,287500.0,299950.0,300000.0,309950.0,309900.0,302450.0,299000.0,299756.0,314950.0,304500.0,324850.0,326950.0,337475.0,351997.5,339950.0,340000.0,349000.0,348250.0,347500.0,349450.0,349900.0,349999.0
Peacock Hill,Gig Harbor,WA,Seattle,Pierce,585000.0,569000.0,549000.0,544450.0,537900.0,530000.0,549000.0,569000.0,559500.0,522000.0,519000.0,499900.0,495000.0,495000.0,499000.0,495000.0,480000.0,494500.0,495000.0,444600.0,469950.0,475000.0,429475.0,424475.0,449975.0,432000.0,411975.0,439500.0,474950.0,498500.0,522500.0,506875.0,522500.0,515000.0,539950.0,550000.0,549000.0,550000.0,549250.0,549500.0,549000.0,549000.0,549000.0,549250.0,549500.0,539000.0,567000.0,549950.0,529000.0,569000.0,599000.0,629000.0,527000.0,599900.0,598000.0,549000.0,599000.0,609000.0,606000.0,587450.0,606000.0,622900.0,639000.0,642500.0,667500.0,665000.0,647500.0,639000.0,635000.0,642000.0,642000.0,635000.0,599950.0,634900.0,629950.0,635000.0,632400.0,619997.5,620000.0,599950.0,619000.0,605000.0,610000.0,604950.0,575000.0,635000.0,635995.0,635995.0,640995.0,659000.0,668950.0,664947.5,666947.5,649947.5,664947.5,673950.0,667700.0,667218.5,659950.0
Rosedale-Hunt,Gig Harbor,WA,Seattle,Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603650.0,597450.0,600550.0,592200.0,579725.0,579725.0,592950.0,606612.5,617450.0,614475.0,592950.0,592950.0,604950.0,599422.5,614950.0
Klahanie,Sammamish,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417475.0,424975.0,475000.0,488000.0,505000.0,527475.0,485000.0,499975.0,468500.0,450000.0,397475.0,448500.0,475000.0,525000.0,515000.0,548000.0,539995.0,547497.5,544995.0,500000.0,559995.0,560000.0,575000.0,584245.0,599995.0,584500.0,634997.5,652995.0,640000.0,652995.0,664995.0,658995.0,652995.0,664995.0,692995.0,699997.5,699997.5,692995.0,696441.5,699944.0,685000.0,675000.0,675000.0,692000.0,800000.0,800000.0,810000.0,937500.0,879000.0,877444.0
Tyee Park,Lakewood,WA,Seattle,Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291500.0,279000.0,277000.0,272450.0,272450.0,289950.0,314000.0,298000.0,298000.0,298000.0,299000.0,314000.0
