zipcode,city,state,metro,county,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
33129,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,1935.0,2000.0,2015.0,2099.0,2200.0,2200.0,2300.0,2147.5,2297.5,2150.0,2169.0,2200.0,2200.0,2125.0,2189.0,2237.5,2225.0,2400.0,2400.0,2312.5,2339.5,2204.5,2200.0,2200.0,2200.0,2225.0,2200.0,2200.0,2400.0,2500.0,2600.0,2550.0,2450.0,2500.0,2500.0,2524.5,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2502.0,2400.0,2500.0,2400.0,2600.0,2537.5,2500.0,2500.0,2400.0,2450.0,2450.0,2514.0,2650.0,2559.0,2532.0,2500.0,2514.0,2600.0,2625.0,2650.0,2600.0,2700.0,2600.0,2600.0,2550.0,2597.5,2550.0,2550.0,2600.0,2550.0,2500.0,2504.0,2600.0,2559.0,2600.0,2500.0,2579.5,2600.0,2500.0,2500.0,2400.0,2500.0,2499.0,2504.0,2550.0,2500.0,2600.0
33132,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2700.0,2600.0,2625.0,2525.0,2500.0,2500.0,2500.0,2375.0,2450.0,2500.0,2500.0,2550.0,2600.0,2600.0,2600.0,2500.0,2600.0,2600.0,2600.0,2650.0,2685.0,2700.0,2750.0,2700.0,2700.0,2750.0,2700.0,2800.0,2800.0,2850.0,2850.0,2850.0,2800.0,2800.0,2700.5,2750.0,2800.0,2800.0,2750.0,2750.0,2800.0,2750.0,2797.5,2750.0,2990.0,2950.0,2900.0,2900.0,2850.0,2700.0,2650.0,2650.0,2695.0,2600.0,2700.0,2995.0,3000.0,3000.0,3000.0,3000.0,2995.0,2962.5,3000.0,3000.0,3000.0,2925.0,2900.0,2900.0,2800.0,2900.0,2800.0,2800.0,2815.0,2795.0,2900.0,2700.0,2700.0,2750.0,2800.0,2800.0,2799.0,2800.0,2800.0,2900.0,2900.0,2850.0,2800.0,2800.0,2897.0,2850.0,2850.0
33316,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850.0,1895.0,1850.0,1800.0,1750.0,1750.0,1825.0,1850.0,1900.0,1850.0,1900.0,1800.0,1900.0,1900.0,1995.0,1800.0,1800.0,1825.0,1950.0,1800.0,1825.0,1797.5,2050.0,1800.0,2007.0,1971.0,2029.5,2000.0,2059.0,2059.0,2029.5,2004.5,2059.0,2029.5,1997.5,2000.0,1950.0,2000.0,2029.5
33149,Key Biscayne,FL,Miami-Fort Lauderdale,Miami-Dade,3200.0,3175.0,3100.0,3150.0,3200.0,2950.0,2950.0,2975.0,3000.0,3295.0,3200.0,3175.0,3200.0,3300.0,3500.0,3400.0,3150.0,3000.0,3300.0,3325.0,3300.0,3500.0,3575.0,3850.0,3850.0,3800.0,3800.0,3500.0,3500.0,3600.0,3600.0,3800.0,3800.0,3825.0,3900.0,3950.0,4000.0,4000.0,4000.0,3850.0,4000.0,4000.0,4000.0,3925.0,4000.0,4000.0,4000.0,4000.0,3975.0,3990.0,4050.0,4600.0,4600.0,4800.0,4800.0,4695.0,4800.0,4650.0,4500.0,4300.0,4245.0,4900.0,4950.0,4500.0,4500.0,4450.0,4500.0,4397.5,4250.0,4400.0,3950.0,4200.0,4500.0,4300.0,4300.0,4000.0,4100.0,4250.0,4000.0,4000.0,4000.0,4000.0,4100.0,4200.0,4100.0,4100.0,4150.0,4100.0,4125.0,4200.0,4200.0
33305,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150.0,1850.0,1670.0,1425.0,1650.0,1500.0,1595.0,1500.0,1425.0,1600.0,1425.0,1500.0,1700.0,1800.0,1800.0,1999.0,1999.0,1999.0,1950.0,1999.0,1999.0,1787.5,1999.0,1999.0,1950.0,1825.0
33315,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,1617.5,1650.0,1562.5,1500.0,1500.0,1450.0,1250.0,1322.5,1500.0,1400.0,1297.5,1300.0,1297.5,1300.0,1250.0,1300.0,1300.0,1375.0,1250.0,1300.0,1400.0,1350.0,1350.0,1500.0,1300.0,1250.0,1250.0,1475.0,1500.0,1327.5,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1350.0,1300.0,1300.0,1500.0,1500.0,1500.0,1400.0,1365.0,1500.0,1487.5,1599.5,1600.0,1562.5,1500.0,1524.0,1500.0,1562.5,1525.0,1512.5,1450.0,1500.0,1650.0,1525.0,1500.0,1500.0,1500.0,1500.0,1500.0,1550.0,1500.0,1500.0,1500.0,1550.0,1572.5,1650.0,1700.0,1650.0,1650.0,1650.0,1500.0,1500.0,1500.0,1500.0,1500.0,1597.5
33136,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,1800.0,1850.0,1850.0,1800.0,1800.0,1850.0,1765.0,1850.0,1850.0,1850.0,1757.5,1750.0,1900.0
33403,Lake Park,FL,Miami-Fort Lauderdale,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1599.0,1589.0,1606.0,1638.5,1550.0,1500.0,1544.0,1550.0,1450.0,1500.0,1550.0,1700.0
33413,Greenacres,FL,Miami-Fort Lauderdale,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340.0,1398.0,1352.0,1370.0,1360.0,1297.0,1279.5,1320.0,1341.5,1394.5,1375.0,1353.0,1406.0
33035,Homestead,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150.0,1200.0,1100.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1225.0,1250.0,1237.5,1200.0,1200.0,1200.0,1200.0,1212.5
33146,Coral Gables,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2545.0,2663.5,2850.0,2976.0,2569.0,2692.5,2607.0,2685.0,2600.0,2550.0,2550.0,2500.0,2450.0,2450.0,2645.0,2594.5,2750.0
