,zipcode,city,state,metro,county,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
0,33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,333.380628074158,329.380764163373,315.01272264631,308.362371409883,297.008547008547,279.86816555953,281.409127213378,273.672055427252,271.978021978022,269.230769230769,258.919961427194,251.635104518446,255.68181818181802,261.977186311787,258.143085435768,259.016393442623,272.884283246978,276.918290172802,273.010920436817,269.620253164557,259.79138971265,256.80140814359197,243.45703125,240.847784200385,239.877948762897,245.420200043488,246.496290189613,257.44503200668,271.195652173913,262.831599393343,251.919385796545,256.556442417332,272.88707386363603,250.0,260.989010989011,256.13802256137996,273.63184079602,292.96875,296.052631578947,297.021943573668,290.277777777778,288.257664556797,293.790849673203,279.0,290.541725105189,306.55289016582697,309.52380952381003,306.87532272205897,313.045424032222,307.563025210084,314.96062992126,340.50179211469504,344.086021505376,339.245283018868,319.154334251329,326.438024472293,333.33333333333303,333.393404216976,348.59236464818,355.82431572247003,347.802089436223,342.196910185913,326.771653543307,323.894183773216,320.0,320.85959885386796,336.776388505112,334.630350194553,337.822146304127,347.402597402597,357.309817060054,361.94257788637805,383.876175919747,383.025131694469,380.43478260869597,406.69201113728894,405.37664508855903,408.52272727272697,414.64957020984497,404.28472702142403,412.975796860503,404.103535353535,397.5,398.743447425224,398.743447425224,409.690417166737,416.203703703704,412.447552447552,405.99735347728597,411.521129313292,414.11491428711196,404.25478723404296,412.447552447552,399.48051948051904,401.90700104493203,403.92383150605906,400.817353033637,403.225806451613,415.604283528812
1,33025,Miramar,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.844564240791,121.29183785622699,121.25632198584199,123.376623376623,120.46632124352301,120.987259157481,121.72588832487301,124.13793103448299,124.127789046653,123.703703703704,126.395939086294,128.97832403088898,134.93506493506501,133.27489706639201,131.34727482271998,135.26807673389098,128.32796792047898,128.269230769231,130.80641700945802,130.758839528558,131.97461928933998,131.64556962025299,134.463809430976,141.001945525292,150.0,147.545439192755,149.40191387559798,145.118733509235,145.405819295559,153.166034666397,155.27318475916599,156.043295249549,155.82829167429898,159.430424647816,159.233749461903,158.38445807771,157.60667903524998,158.497353297036,163.65068010762,164.000354146235,161.357921207041,162.767039674466,165.34362366776898,164.63619283415701,164.507772020725,164.647577092511,174.141235713278,171.90045248868802,172.655193918363,173.960334245916,174.415877172048,175.0,172.815175593426
2,33411,Royal Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.728346456693,112.33660130719,111.12929623567899,114.95,117.26458755192301,119.403341921464,119.48338377513299,121.67026637869,123.450832983434,123.433564837267,121.739263969007,122.671290384606,125.78093171088301,123.61965668033001,124.068558269851,128.579661422475,130.10255963580798,128.538050734312,128.622327790974,129.55643390426002,131.414267834793,131.794602059563,133.25826855875601,135.811750432252,135.098268213848,134.126582278481,134.717084639498,136.777724727204,135.374141376678,139.560848529959,140.441176470588,140.24594834593,142.212189616253,142.555438225977,144.935934582448,148.006316620608,146.601810790568,144.336175395859,145.992876224399,145.436428856118,147.49443207126998,150.407523510972,150.577421635635,151.533932444995,153.41677337629298,151.989825581395,153.57020840451,155.223004694836,156.646586345382,157.779129494458,158.62895486655898,161.41889198884,160.377358490566
3,33139,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,408.125638406537,404.907975460123,393.425925925926,389.83050847457605,384.175084175084,374.63793125487297,369.37602831929,377.84883720930196,381.36894736413905,384.83146067415703,388.57677902621697,387.290484038332,385.62091503268,401.16279069767404,401.16279069767404,390.71465832029196,409.38362465501405,415.929203539823,414.37530289812895,419.490535171769,421.558164354322,424.429164504411,431.32716049382697,427.142857142857,419.776724522204,423.604071791274,429.93848257006204,437.363138686131,434.981684981685,433.583959899749,420.95416276894304,427.281603848601,434.06373684966104,422.5,436.928702010969,447.219557261131,473.958333333333,467.72727272727303,466.06914212547997,466.101694915254,467.10526315789497,468.875502008032,488.17204301075304,483.301739518287,500.0,509.433962264151,497.619047619048,521.815008726003,528.23545043848,537.562317670895,520.540217250744,526.240601503759,522.727272727273,522.473259561888,520.198999565028,513.861386138614,522.788203753351,524.914675767918,539.568345323741,557.6019254850299,566.0957714239,555.036691127418,541.145833333333,537.06626783249,539.906103286385,537.68806561086,554.0042260961441,558.9197452325769,566.778535934139,566.546762589928,572.881458232738,574.381964388283,576.631259484067,575.173947538405,568.493150684931,583.333333333333,584.862385321101,592.481203007519,589.763779527559,585.540069686411,581.669896640827,581.25,587.326287855863,581.2880803226641,580.728020582958,576.315789473684,567.241379310345,567.343173431734,565.642922816957,564.4042232277529,564.4042232277529,557.376189058466,562.5,557.5796116461979,552.536231884058,559.226923076923,555.555555555556,561.9047619047619,561.509971509972
4,33024,Pembroke Pines,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.974631751227,128.653965416606,130.666666666667,129.385964912281,130.827702702703,132.258064516129,134.30853393182198,135.239567233385,139.089744051576,139.396551724138,137.012077112552,139.31498829039802,140.256615878107,141.49953965687598,144.09869644817,143.171806167401,145.672664952871,144.293596523681,144.077541407642,143.12960823154,151.84243964421898,151.207115628971,150.437636761488,149.201019974501,149.230769230769,152.51006827041098,155.03875968992202,153.922542204568,159.32407966204,164.606778234685,166.919575113809,170.414876459683,171.679389312977,172.175964187328,174.30607110249,177.77777777777803,177.696537932758,178.075006556517,182.387855579869,181.895212336932,181.773147672192,183.582534742551,185.593343792022,187.46736292428199,191.75359539789102,194.452449567723,193.947036569987,193.859649122807,194.03911828624697,197.422023198681,199.18214242517502,200.450245877223,198.05697991956,197.530864197531,202.094148805124,203.13942751615897,202.235772357724,202.147634462615
5,33009,Hallandale,FL,Miami-Fort Lauderdale,Broward,182.131296449216,179.45335703780398,168.40434846052798,162.5,165.175557789194,161.875,150.0,160.123966942149,159.95,164.588235294118,162.613636363636,161.740890688259,158.51063829787202,161.392405063291,154.18965773441002,149.609375,156.521739130435,155.625,158.54103343465,160.061983471074,166.25,165.686274509804,165.730337078652,165.0,166.0,167.977528089888,169.928780573718,167.058823529412,164.493670886076,170.574343472511,168.18181818181802,164.705882352941,166.78256838201202,170.539164570938,188.159910993015,193.055555555556,212.06896551724097,213.288446526151,211.052322163433,209.04545454545502,195.79332849891202,195.79332849891202,197.346600331675,199.364443586526,204.206730769231,210.753720595295,214.285714285714,210.753720595295,204.677777777778,201.38254378765097,200.0,196.900678256802,202.31213872832402,206.92307692307702,206.92307692307702,209.531635168447,212.622036262204,208.73786407767,209.451127819549,212.64367816092,209.463804161405,216.666666666667,208.888,206.345565749235,207.441860465116,201.450573996156,206.57142857142898,211.944444444444,213.57142857142898,216.503819673677,228.57142857142898,225.535168195719,234.781739130435,229.839655172414,228.803545051699,237.004405286344,233.59375,237.61467889908297,238.22193097422502,233.088235294118,231.741788539919,238.095238095238,238.095238095238,240.37595628415298,235.402130950335,233.095588235294,237.113402061856,235.349716446125,237.455379445025,238.76404494382004,240.909090909091,242.14285714285703,243.965705548274,243.820314573811,241.422344383364,238.84955752212397,239.066059225513,238.982868547322,235.849056603774
6,33186,The Crossings,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.841637888505,127.90854978355,131.90954773869302,132.5,133.04365595792498,132.952380952381,133.95618556701,136.036377415688,138.55321285140602,136.439067909048,139.080459770115,139.35340022296498,139.839559795437,139.47368421052602,142.189634706264,142.560912389839,142.655514898066,146.668276972625,149.82014388489202,147.881530234471,148.398987707881,149.37056651567102,149.45652173913,150.363070539419,152.69813389836798,154.34093965385298,154.970069977236,154.703450709551,158.129768982714,160.938303209755,161.700932308907,163.31391650409202,162.59141621736998,161.741357597704,160.459770114943,163.20474777448098,166.47748770336702,166.387965285474,169.754598857654,170.103013255066,172.413793103448,172.73425499232,173.736303786021,174.017427195597,174.48542172856602,173.84731670445998,173.629951166576,175.12787723785198,176.208178438662,178.511904761905,179.166666666667,178.59970238095198,177.55856966707802,178.857511878643,180.415162454874
7,33012,Hialeah,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.248692966777,108.140100079122,106.468442629247,108.082706766917,107.361963190184,114.138438880707,109.31174568382299,110.476003832419,112.26838693781201,117.877289377289,116.955767706679,117.400334695334,120.748966832116,119.28172819666099,119.058993188172,130.927085452504,128.53446349490102,127.88205980066401,122.832767713931,124.92857142857099,127.292068867729,127.037105991064,128.75536480686702,135.677564740919,139.278557114228,139.406720417579,135.355874107619,137.776387150605,139.323186603091,136.964580820939,141.479099678457,142.84195851777,149.462682531989,148.497335997336,157.190635451505,159.70692608908502,159.345814977974,158.567774936061,163.069544364508,163.492063492063,163.491414554375,162.94589836950001,164.64423607280798,165.28650276214398,165.889932446737,169.736842105263,170.89949847853,174.092788240698,170.842824601367,170.22258258134,175.199139782109,175.221238938053,177.01533367622503
8,33311,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.8055555555555,89.9031811894882,92.4092409240924,94.6969696969697,96.2732919254658,95.03068072866729,91.24767945544549,97.032967032967,95.57344064386321,99.15674603174601,99.2307692307692,102.927289896128,103.578154425612,104.931794333683,105.693430656934,114.29269257631,112.689393939394,109.722222222222,99.0,103.30475206611601,98.1570654126253,105.003957783641,109.786695802819,109.9,113.416320885201,117.647058823529,120.177469135802,125.0,123.160923791421,124.92857142857099,126.79749538181002,123.219178082192,123.545454545455,127.93176972281401,129.366106080207,130.14023521956003,132.83378746594,136.137820512821,138.916666666667,138.833333333333,143.830985915493,148.562300319489,152.25933202357598,149.275883838384,151.82032388663998,155.47911176987301,156.76077265973302,160.25641025641002,164.0,164.719101123595,165.172050561798,164.349315068493,167.304015296367
9,33064,Pompano Beach,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.624997751111,122.877805580831,133.28431372549,133.235294117647,138.441558441558,126.93089430894301,126.735063367532,125.860621326616,119.067174119886,120.95263537860201,116.522456361992,124.673694947556,123.784261715296,123.280423280423,123.280423280423,125.943744752309,126.161616161616,125.858123569794,134.949130595634,139.366319444444,147.626465429706,133.076923076923,132.652583523821,137.416666666667,148.741418764302,158.738048066156,157.902097902098,157.342657342657,160.995258880193,160.740517760385,154.76847193501,159.113888888889,159.2,164.161820278243,164.729967678132,167.973124300112,174.163187805214,178.465781218032,186.01004688546502,196.906418151695,197.231209758377,198.875432525952,190.19751280175598,184.57741717376598,196.385645551398,207.238610124145,221.561452116497,228.11001605422797,219.838099217456,221.21050892365002,203.92231806783198,200.96021998931,211.45087833441798,228.309539260221,222.88058340929797,220.750151240169,220.669193267144
